siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
194,23.0,1.0,3.0,3.0,4.0,194,1147326.7715920508,702497.641709894,1.0,0.45462560653686523,2.0,6.0,1.0,888.3799567424218,1677.9604558878418,9.0,5.0,117.27120208740234,12980.790176792898,4875.985151176526,2688.8368174809375,37.68234251483073,5060.305404203093
195,23.0,1.0,3.0,3.0,4.0,195,1151183.325558722,702401.6599464715,5.0,0.6259317994117737,4.0,6.0,5.0,1813.7528431593842,1433.3583338418514,8.0,3.0,115.75367736816406,9143.948548919328,3617.67331294622,1711.31790045049,41.69499864629417,3593.7232388930447
196,36.0,0.0,3.0,3.0,4.0,196,1143615.5352481455,702592.1556284726,0.0,0.5382699370384216,2.0,6.0,0.0,0.0,1161.213265395405,13.0,3.0,105.54802703857422,13005.117213877946,7885.40173386435,389.7597069950144,75.58971964016175,7517.159987016929
197,29.0,1.0,3.0,3.0,4.0,197,1149538.5220898092,702443.5437209755,1.0,0.5617105960845947,3.0,6.0,3.0,1293.6261441624313,1548.255935071301,8.0,4.0,105.29712677001953,10781.645168994179,3743.325908400207,2748.2900189715892,43.30354249597093,4088.2513346348155
198,30.0,1.0,3.0,3.0,4.0,198,1149850.6595888883,702436.088027224,5.0,0.5208652019500732,3.0,6.0,3.0,1489.1941596737613,1424.5472415967238,7.0,4.0,106.81002807617188,10471.027560070448,3663.913487543182,2765.537248410938,45.4186983219262,3992.7023103905854
199,22.0,1.0,3.0,3.0,4.0,199,1146490.2565328032,702520.543566972,0.0,0.9791057109832764,2.0,7.0,0.0,140.19095423633195,858.5660032259134,8.0,6.0,103.81047821044922,13315.519507706738,5480.606581201999,2819.290987433814,45.57016154551364,5553.227251181767
200,20.0,1.0,0.0,0.0,0.0,200,1137748.2612215579,702742.954211399,0.0,0.4790859520435333,2.0,7.0,0.0,2285.215336870689,1909.9627734907053,7.0,4.0,95.27288818359375,7300.867610243083,12456.796402764965,4094.347491410589,15.666157340129738,7259.69060134705
201,20.0,1.0,3.0,3.0,4.0,201,1138374.008001551,702727.2695314735,0.0,0.18458591401576996,2.0,9.0,0.0,2661.8714755471547,2263.465176315442,11.0,4.0,93.2763671875,7899.316810354269,11919.547563721153,3570.1936375789655,25.305165747887404,7856.933087378077
202,23.0,1.0,3.0,3.0,4.0,202,1151306.2859427184,702400.4135578871,5.0,0.2815968990325928,4.0,6.0,5.0,1741.1519577446427,1467.5938161119316,8.0,3.0,117.83601379394531,9021.003227256244,3639.964224986799,1588.5235211407398,34.395874446820514,3562.190313231798
203,27.0,1.0,3.0,3.0,4.0,203,1148783.680751726,702463.5712399781,1.0,0.31235578656196594,2.0,6.0,3.0,1075.6006310246719,2015.258828516404,9.0,5.0,109.76190948486328,11532.4326257951,4031.7897292715807,2692.6894012927464,36.39766670079453,4360.034178194211
