,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
pG_hs_raster_val,-0.04963922219517806,0.32421882574821226,0.06939054458084805,-0.5400289464046999,-0.2297477033727393,0.03499001708787794,-0.31864507326539854,0.16764199255257298,0.08304854909936185,0.5154606032287556,1.0,0.41069734350743475,-0.1326085976444719,-0.37305980861964905,-0.19576525421275348,0.6531183469662498,-0.3624221631143351,0.11750422990551826,-0.3672335614658078,-0.7248137596042227,-0.6826912972163703,0.06256642667884237
pG_rr_raster_val,0.11989184717598099,0.3284125949714921,0.2102288369289796,-0.2625319098859165,0.04400081223374022,0.6171242545883732,-0.19261456712844094,0.3865784083510426,0.4264348233050109,0.940737168628554,0.41069734350743475,1.0,0.009738102411783361,0.29155476820834314,-0.16752391314449255,-0.2084187682092919,-0.7874159431767471,-0.34458006004406155,-0.5286548539442568,-0.5106027152384929,-0.2433622900154213,-0.696816945328108
pD_parkd_none_dist,0.4164390047202489,0.03419903406278327,-0.043585075445448075,0.03293726687195149,-0.03692729866548169,0.14942942690849004,-0.27807320740360286,-0.1977238650609362,-0.21046535512901696,0.012995702131486715,-0.1326085976444719,0.009738102411783361,1.0,0.35521433845802486,-0.45675571689454375,-0.2565479951524833,-0.04404002634692158,0.23819096389608632,-0.03950272151314527,0.16428158892160274,0.0913430304182778,0.14835708229114997
pD_waterd_none_dist,0.505679860471148,0.0046652688519678255,0.04604885384726693,0.3220139234488722,0.1968300824454876,0.38426939495650386,-0.011982090843205435,-0.11740301117026182,0.2876274782606794,0.2580983419698094,-0.37305980861964905,0.29155476820834314,0.35521433845802486,1.0,-0.0877215558306799,-0.7692927318568599,-0.20778150707236062,-0.27080437943609315,-0.12780584394237982,0.1951840339981466,0.4035459496248243,-0.3234958662798639
pG_park_raster_val,-0.14438140885899495,-0.3092617062134241,-0.04583468049287869,0.14363694410413122,0.08587452344174974,-0.09948172563050312,0.433627332076191,0.0956466847882427,-0.1449240193921514,-0.16893851621362344,-0.19576525421275348,-0.16752391314449255,-0.45675571689454375,-0.0877215558306799,1.0,-0.0992292214141253,0.1829545924964018,-0.3350899128815342,-0.03546882564450083,0.11615311136347911,0.31162435394314475,0.06599358164096736
pG_waterd_raster_val,-0.2805087533972486,0.08945322422275433,-0.07767215527418973,-0.46061538772178473,-0.30751301201571163,-0.40079348426510153,-0.21896480037451088,-0.03858380272543238,-0.19693530463935066,-0.0961917039195322,0.6531183469662498,-0.2084187682092919,-0.2565479951524833,-0.7692927318568599,-0.0992292214141253,1.0,0.14155269727854652,0.3679061537215749,0.015933002218659387,-0.4023724602968204,-0.6158754427483846,0.3785750405334888
pG_elev_raster_val,-0.06394710622178419,-0.3083737601289507,-0.16456005352677958,0.11665352931365165,-0.050042747465253,-0.4525762067288239,0.04438703381647503,-0.3722553281116455,-0.2996116101602399,-0.7109428386047474,-0.3624221631143351,-0.7874159431767471,-0.04404002634692158,-0.20778150707236062,0.1829545924964018,0.14155269727854652,1.0,0.3787007921995626,0.27548251965401127,0.3368390003226957,0.20145604142001866,0.5913864588563146
pD_soundd_none_dist,0.14182679201183712,-0.08142755070698367,-0.1725033451511383,-0.3353808093470104,-0.2890938037190224,0.07907128925233427,-0.7547943418959749,-0.21768341607306177,-0.27189722952634954,-0.21910711647701506,0.11750422990551826,-0.34458006004406155,0.23819096389608632,-0.27080437943609315,-0.3350899128815342,0.3679061537215749,0.3787007921995626,1.0,-0.21360448217414824,-0.028845814608095835,-0.4506740417041654,0.5659850286397389
pF_trid_none_dist,-0.25880136384501135,-0.09319717627954921,-0.10656431171107662,0.5305156223108267,0.15666775587004514,-0.6861433683816206,0.5868026009954259,-0.4940926013727145,-0.16566395270752687,-0.6466867470010498,-0.3672335614658078,-0.5286548539442568,-0.03950272151314527,-0.12780584394237982,-0.03546882564450083,0.015933002218659387,0.27548251965401127,-0.21360448217414824,1.0,0.6883062697922668,0.5087845428267306,0.13913818435950867
pE_hwd_none_dist,0.025946628753753094,-0.2540186957253751,-0.16940576421864156,0.7185977063281279,0.23392577932710346,-0.26563140874514773,0.43884002751650836,-0.4022152462703336,-0.305718617487211,-0.6712057172850453,-0.7248137596042227,-0.5106027152384929,0.16428158892160274,0.1951840339981466,0.11615311136347911,-0.4023724602968204,0.3368390003226957,-0.028845814608095835,0.6883062697922668,1.0,0.7255773090988722,0.06627808549329288
pE_hsd_none_dist,0.03223742197548867,-0.10741857718058798,-0.0835319713678089,0.7173228694539824,0.318146717916716,-0.19050487144116246,0.6759629677736023,-0.24406964134481518,-0.15615266938976333,-0.4059430638018304,-0.6826912972163703,-0.2433622900154213,0.0913430304182778,0.4035459496248243,0.31162435394314475,-0.6158754427483846,0.20145604142001866,-0.4506740417041654,0.5087845428267306,0.7255773090988722,1.0,-0.056177567101479385
pE_rrd_none_dist,0.06126730185773885,-0.22194866852578723,-0.2042737246511447,-0.07087709962972939,-0.20101643420033463,-0.4073217660307345,-0.16184524456852445,-0.41761753514952965,-0.44136778135166577,-0.5281146510056792,0.06256642667884237,-0.696816945328108,0.14835708229114997,-0.3234958662798639,0.06599358164096736,0.3785750405334888,0.5913864588563146,0.5659850286397389,0.13913818435950867,0.06627808549329288,-0.056177567101479385,1.0
