EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
29801,Northwest Educational Service District 189,37501,2225,Bellingham School District,Lowell Elementary School,Math,-0.6,,0,0,0,,,-14.3,0,-100,0,No,N/A,N<Required,N<Required,N<Required,Yes,N/A,N/A,N<Required,N<Required,N<Required,78.1,,,,,,,,,,,47.7,,,,,,,,,,,true,false,,,,,false,false,,false,,true,true,true,true,true,,true,true,true,true,true,Yes,N/A,N<Required,N<Required,N<Required,Yes,N/A,N<Required,N<Required,N<Required,N<Required
29801,Northwest Educational Service District 189,37501,2225,Bellingham School District,Lowell Elementary School,Reading,,,0,0,0,,,-14.3,0,-100,0,Yes,N/A,N<Required,N<Required,N<Required,Yes,N/A,N/A,N<Required,N<Required,N<Required,,100,,,,,,,,,,,,,,,,,,,,,,false,,,,,false,false,,false,,,true,true,true,true,,true,true,true,true,true,Yes,N/A,N<Required,N<Required,N<Required,Yes,N/A,N<Required,N<Required,N<Required,N<Required
29801,Northwest Educational Service District 189,37501,4571,Bellingham School District,Northern Heights Elementary Schl,Math,-27.5,0,0,-100,,-22.2,,-14.9,,-24.9,-35.6,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,51.3,,,50,,52.6,,,,19,33.3,18.5,,,-100,,21.4,,,,20.1,15.5,false,,,false,,false,false,false,,false,false,true,true,true,true,,true,true,true,,true,true,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37501,4571,Bellingham School District,Northern Heights Elementary Schl,Reading,-17,0,0,-100,,-13.2,,-5.3,,-41,-24.6,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,66,,,87.5,,65.4,,,,33.3,48.5,14.2,,,-700,,19.8,,,,-14.7,7,false,,,false,,false,false,false,,false,false,true,true,true,true,,true,true,true,,true,true,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37501,1647,Bellingham School District,Options High School,Math,-23.9,,,,0,-13.5,,,-100,,0,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,33.3,,,,,100,,,,,,10,,,,,,,,0,,,false,false,false,false,,false,false,false,false,false,,true,,,,,,,,,,,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
29801,Northwest Educational Service District 189,37501,1647,Bellingham School District,Options High School,Reading,-13.2,,,,0,-8.8,,,-100,,-17,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,66.7,,,,,100,,,,,50,-50,,,,,,,,0,,-11.1,false,false,false,false,,false,false,false,false,false,false,true,,,,,,,,,,,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
29801,Northwest Educational Service District 189,37501,3202,Bellingham School District,Parkview Elementary School,Math,-19.6,-100,0,-100,-30,,,-22.2,-70.7,-24.6,-38.2,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,67.5,50,,66.7,60,,,,28.6,,41.7,-12.2,-100,,-200,-81.8,,,,-19,25,-11.2,false,false,,false,false,,false,false,false,false,false,true,true,true,true,true,,true,true,true,true,true,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,3202,Bellingham School District,Parkview Elementary School,Reading,-7.9,-100,0,-33.3,-18,,,-22.2,-60.8,0,-13.2,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,70.1,16.7,,66.7,53.3,,,,28.6,,50,20.7,-20,,-100,-16.9,,,,-19,,8.1,false,false,,false,false,,false,false,false,,false,true,true,true,true,true,,true,true,true,true,true,No,N<Required,N<Required,N<Required,N<Required,Yes,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,2067,Bellingham School District,Roosevelt Elementary School,Math,-34.7,0,-16.7,-25,,-27,,-2.6,-73.3,-51.3,-41.8,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,45.9,,,50,,53.2,,,7.1,20,31.7,10.7,,,0,,6.4,,,1.3,-3.3,12.1,false,,false,false,,false,false,false,false,false,false,true,true,true,true,,true,true,true,true,true,true,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,2067,Bellingham School District,Roosevelt Elementary School,Reading,-20.8,0,0,-25,,-14.9,,0,-53.3,-20.6,-23.3,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,65.7,,,62.5,,74.2,,,28.6,40,57.7,1.3,,,33.3,,-18.8,,,-16.7,-1.4,1.3,false,,,true,,false,false,,false,false,false,true,true,true,true,,true,true,true,true,true,true,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
