esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
29801,Northwest Educational Service District 189,37501,4515,Bellingham School District,Squalicum High School,Reading,-11,-2.4,-2.6,0,-14.2,-4.9,0,0,-40.7,-28.3,-17.2,No,N<Required,No,N<Required,No,No,N<Required,N<Required,No,N<Required,No,81.7,75,,,52.5,86.8,,,37.8,23.5,65.8,13.2,-100,,,40.9,24.5,,,4.4,27.4,23.6,FALSE,FALSE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,TRUE,,FALSE,No,N<Required,No,N<Required,No,No,N<Required,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37501,2387,Bellingham School District,Sunnyland Elementary School,Reading,-8.4,0,-0.5,,-10.3,,,-9.1,-13.9,-32.6,-12.4,No,N<Required,N<Required,N/A,N<Required,No,N/A,N/A,N<Required,N<Required,No,76.8,,,75,63.4,,,,25,51.7,70.7,4.4,,,,-36.7,,,,21.6,-48,-16.7,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N/A,N<Required,No,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,1799,Bellingham School District,Visions (Seamar Youth Center),Reading,0,,,,,0,,,,,0,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
29801,Northwest Educational Service District 189,37501,5125,Bellingham School District,Wade King Elementary School,Reading,-7.8,-25,0,0,-6.7,-5.2,,0,-7.5,-35,-23.3,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,No,N<Required,No,88.1,100,,,100,87.2,,,31.3,,63.6,-49.8,,,,,-28.5,,,50.3,,-52.8,FALSE,FALSE,,,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,Yes,N<Required,No
29801,Northwest Educational Service District 189,37501,2075,Bellingham School District,Whatcom Middle School,Reading,-6.9,-2.4,0,0,-1.1,-4.9,0,,-39.9,-20.1,-9.2,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,No,No,N<Required,Yes,No,N<Required,No
32801,Educational Service District 101,1122,3142,Benge School District,Benge Elementary,Reading,-14.3,,0,,,-20,,,0,,,N<Required,N/A,N<Required,N/A,N/A,N<Required,N/A,N/A,N<Required,N/A,N/A,50,,,,,33.3,,,,,,71.4,,,,,70,,,,,,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,N<Required,N/A,N<Required,N/A,N/A,N<Required,N/A,N/A,N<Required,N/A,N/A
17801,Puget Sound Educational Service District 121,27403,2807,Bethel School District,Bethel High School,Reading,,0,-10.3,-10.1,-6,,0,0,,,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N/A,No,,,,80.6,85.2,,,,,,,,,,-32.2,-32.1,,,,,,,,,FALSE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,,,,,,,No,N<Required,N<Required,No,N<Required,Yes,N<Required,N<Required,No,N/A,No
17801,Puget Sound Educational Service District 121,27403,3250,Bethel School District,Bethel Middle School,Reading,-35.3,-33.3,-4.2,-28.8,-26.9,-31.4,-3.3,-11,,0,-41.8,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No,45.9,50,,35.4,39.5,49.5,,,,,31.3,19.1,33.3,,16.9,17.4,16.1,,,,,21.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,Yes,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,Yes
17801,Puget Sound Educational Service District 121,27403,4296,Bethel School District,Camas Prairie Elementary,Reading,,0,0,,,-13.2,-28.3,0,,0,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No,,,,,,74.2,,,,,,,,,,,-18.4,,,,,,,,,,,FALSE,FALSE,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,No,N<Required,N<Required,No,Yes,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27403,4186,Bethel School District,Cedarcrest Middle School,Reading,,0,-0.4,,-21.9,,0,-17.3,,0,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No,,,,,69.8,,,,,,,,,,,-39.5,,,,,,,,,FALSE,,FALSE,,,FALSE,,,,,,TRUE,,TRUE,,,TRUE,,,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
