esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
4801,North Central Educational Service District 171,9206,3212,Eastmont School District,Kenroy Elementary,Math,-23.1,,,,,-14.6,,0,,,-28.7,No,N/A,N/A,N/A,No,No,N/A,N/A,No,No,No,69.8,,,,,78.2,,,,,60.2,-16.8,,,,,-33,,,,,-12.9,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,TRUE,No,N/A,N/A,N/A,No,No,N/A,N<Required,No,No,No
4801,North Central Educational Service District 171,9206,3083,Eastmont School District,Robert E Lee Elementary,Math,-28.1,,0,0,,-18.3,,0,,-64.3,-35.8,No,N/A,N<Required,N<Required,No,No,N/A,N/A,No,No,No,53.5,100,,,,64.5,,,,25.7,43.7,13.8,,,,,4.1,,,,-16.4,11.7,FALSE,FALSE,,,,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,No,N/A,N<Required,N<Required,No,No,N/A,N<Required,No,No,No
4801,North Central Educational Service District 171,9206,2563,Eastmont School District,Rock Island Elementary,Math,-32.8,,,,-32.3,,0,-50,-60.7,-40,-32.6,No,N/A,N/A,N/A,No,No,N<Required,N<Required,N<Required,No,No,60,,,,57.9,,,,15.8,31.3,57.7,-22.3,,,,-22.5,,,,1.9,8.4,-16.3,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N/A,N/A,N/A,No,No,N<Required,N<Required,N<Required,No,No
4801,North Central Educational Service District 171,9206,4095,Eastmont School District,Sterling Intermediate School,Math,-24.4,,0,,,-15.3,,0,-43.3,-55,-34.4,No,N/A,N<Required,N/A,No,No,N/A,N/A,N<Required,N<Required,No,57.5,100,,100,,63.7,,,12.9,13.6,43,24,,,,,34.6,,,18,9.9,19.7,FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N/A,N<Required,N/A,No,Yes,N/A,N<Required,N<Required,N<Required,No
39801,Educational Service District 105,19028,3554,Easton School District,Easton School,Math,,-100,,0,-9.8,,,-100,-33.3,-2,,No,N<Required,N/A,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,,,,,12.5,,,,,,,,,,,42.9,,,,,40,,,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,FALSE,,,FALSE,FALSE,FALSE,,No,N<Required,N/A,N<Required,N<Required,No,N/A,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27404,2808,Eatonville School District,Columbia Crest Elementary School,Math,-20.3,,,,-30,,,0,-100,,,No,N/A,N/A,N/A,N<Required,No,N/A,N/A,N<Required,N/A,No,61.6,,,,57.1,,,,,,,-18.2,,,,-33.3,,,,0,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,No,N/A,N/A,N/A,N<Required,No,N/A,N<Required,N<Required,N/A,No
17801,Puget Sound Educational Service District 121,27404,2205,Eatonville School District,Eatonville Elementary School,Math,-40.7,-100,,0,-14.9,,,-40,-64.1,0,-42.5,No,N<Required,N/A,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,65.2,50,,,66.7,,,,40,,44.8,-61.1,-100,,,-71.4,,,,-41.7,,-12.9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N/A,N<Required,N<Required,No,N/A,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27404,2206,Eatonville School District,Eatonville High School,Math,,0,,0,0,,0,0,-24.3,,,No,N<Required,N/A,N<Required,N<Required,No,N<Required,N<Required,N<Required,N/A,No,,,,,,,,,,,,,,,,,,,,37.5,,,,,FALSE,,,,,,TRUE,FALSE,,,,,,,,,,,,,Yes,N<Required,N/A,N<Required,N<Required,Yes,N<Required,N<Required,N<Required,N/A,Yes
17801,Puget Sound Educational Service District 121,27404,4230,Eatonville School District,Eatonville Middle School,Math,-38.8,-100,0,-100,-5.8,-37.5,0,-18.3,,,-38.4,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N/A,No,49.7,37.5,,66.7,57.7,49.4,,,,,41.3,3.5,-60,,-200,-6.4,5.5,,,,,5.4,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N/A,No
17801,Puget Sound Educational Service District 121,27404,5300,Eatonville School District,Mt. Rainier Parent Partnership,Math,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
