EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,2148,Tacoma School District,Franklin,Math,-42,,0,-34.5,-24.2,,,-20.9,-80.9,,-46.7,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2148,Tacoma School District,Franklin,Reading,-53.4,,-80,-34.9,-28.8,,,-63.6,,,-52.9,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5307,Tacoma School District,Fresh Start,Math,-75,,,,0,,,,,,,N<Required,N/A,N/A,N<Required,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,5307,Tacoma School District,Fresh Start,Reading,-30,,,-3.2,0,-31.6,,0,0,,-8.9,N<Required,N/A,N/A,N<Required,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,2746,Tacoma School District,Geiger,Math,-45.6,,-4.5,-40,-34.5,-30.4,,-54.6,-78.8,-60.2,-56.4,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2746,Tacoma School District,Geiger,Reading,-35.9,,-3.7,-21.6,-28.6,-23.3,,-33.3,-78.8,-58.3,-37.9,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5327,Tacoma School District,Goodwill GED,Math,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17801,Puget Sound Educational Service District 121,27010,5327,Tacoma School District,Goodwill GED,Reading,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17801,Puget Sound Educational Service District 121,27010,3053,Tacoma School District,Grant,Math,-44,,0,-35.3,-11.9,-39.8,-66.6,,-52.2,,-45.2,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3053,Tacoma School District,Grant,Reading,-37.4,0,0,-37.4,-26.1,-30.8,,,-75.9,,-33.4,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2377,Tacoma School District,Gray,Math,-61.1,-75,-15.3,-63.7,-60.7,-50.7,,-10.5,,-65.5,-64.3,No,N<Required,No,No,No,No,No,No,No,No,No
17801,Puget Sound Educational Service District 121,27010,2377,Tacoma School District,Gray,Reading,-50.9,-25,-9.9,-51.6,-51.4,-40.7,,-8.7,,-68.2,-55.8,No,N<Required,No,No,No,No,No,No,No,No,No
