EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
17801,Puget Sound Educational Service District 121,27010,1797,Tacoma School District,Day Reporting School,Reading,0,,,0,,0,,,,,0,N<Required,N/A,N/A,N<Required,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,N<Required,N/A,N/A,N<Required,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,2939,Tacoma School District,Delong,Math,-37.6,-100,,-41.5,-48.9,-23.5,-33.3,,-63.7,-28.6,-39.4,No,N<Required,No,No,N<Required,No,N<Required,N<Required,No,N<Required,No,66.5,100,,44.4,65.2,72.5,,,37.9,46.2,60.2,-49.7,,,-14.8,-113,-39,,,-37.5,-13.5,-36.4,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N<Required,No,No,N<Required,No,N<Required,N/A,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2939,Tacoma School District,Delong,Reading,-24.4,-100,,-21.6,-8.3,-16.4,-33.3,,-53.2,-20.7,-29.2,No,N<Required,Yes,No,N<Required,No,N<Required,N<Required,No,N<Required,No,64.7,100,,52.8,60.9,70,,,37.9,23.1,59.3,-4.5,,,4.9,-4.1,-14.4,,,-25.7,20.6,-9.3,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N<Required,Yes,No,N<Required,No,N<Required,N/A,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2747,Tacoma School District,Downing,Math,-15.6,,0,-19.6,-33.3,-3.9,0,0,-42.7,-100,-24.7,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,72.1,,,47.6,88.9,78.4,,,44,,61.3,-23.2,,,-23.5,-500,-14.1,,,-45.1,,-37.4,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2747,Tacoma School District,Downing,Reading,-11.5,,0,-13,0,-2.8,0,0,-41.2,-100,-8.5,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,75,,,42.9,,80.7,,,28,,62.9,-17.6,,,7.4,,-20,,,-4.2,,2.5,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2871,Tacoma School District,Edison,Math,-45.4,,-0.8,,-39.9,-30.1,-25,-35,,-52.1,-46.4,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,No,No,33.3,,,,17.5,38.3,,,,16.7,30.7,11.9,,,,23.8,15,,,,8.7,12.3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2871,Tacoma School District,Edison,Reading,-28.4,,-0.8,,-18.1,-16,0,-35,,,-28.6,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,No,No,57.4,,,,50,60.5,,,,,55.4,2.1,,,,19.4,5.1,,,,,3.5,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,,FALSE,No,N/A,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2772,Tacoma School District,Fawcett,Math,-33.7,-60,-1.9,-17.5,,-26.9,-16.4,-33.3,-56.8,-20.5,-37.6,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,52.9,,,35.7,,66.3,,,28.1,26.3,48.4,-3.7,20,,25.6,,-46.3,,,-14.6,17.4,-6.4,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2772,Tacoma School District,Fawcett,Reading,-21,0,-1.9,-4.3,,-11.8,0,0,-32.1,-14.5,-23.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,57.5,,,42.9,,68.8,,,28.1,15.8,51.6,17.2,,,23.9,,-5.3,,,10,38,16.2,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2167,Tacoma School District,Fern Hill,Math,-29.9,-100,,-7.6,-31.1,-14.8,0,-100,-58.3,-59.3,-32.8,No,N<Required,No,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,64.7,100,,50,46.9,71.6,,,23.5,31.3,59.8,-30.1,,,16.7,-13.8,-51.1,,,-13.3,-17.5,-28.9,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,N<Required,No,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
