id,newid,Y15_Pop
1500000US530530618001,530618001,1094
1500000US530530618002,530618002,1147
1500000US530530618003,530618003,566
1500000US530530619001,530619001,862
1500000US530530619002,530619002,923
1500000US530530620001,530620001,920
1500000US530530620002,530620002,1155
1500000US530530620003,530620003,1082
1500000US530530620004,530620004,1383
1500000US530530623001,530623001,1389
1500000US530530623002,530623002,1438
1500000US530530623003,530623003,1352
1500000US530530623004,530623004,1085
1500000US530530624001,530624001,1651
1500000US530530624002,530624002,993
1500000US530530624003,530624003,1095
1500000US530530624004,530624004,975
1500000US530530624005,530624005,808
1500000US530530625001,530625001,1309
1500000US530530625002,530625002,1663
1500000US530530625003,530625003,504
1500000US530530625004,530625004,1067
1500000US530530625005,530625005,1649
1500000US530530625006,530625006,695
1500000US530530625007,530625007,1030
1500000US530530626001,530626001,1099
1500000US530530626002,530626002,2067
1500000US530530628011,530628011,1222
1500000US530530628012,530628012,2076
1500000US530530628013,530628013,1865
1500000US530530628014,530628014,1245
1500000US530530628021,530628021,1828
1500000US530530628022,530628022,1377
1500000US530530628023,530628023,954
1500000US530530629001,530629001,2681
1500000US530530629002,530629002,1482
1500000US530530629003,530629003,719
1500000US530530629004,530629004,815
1500000US530530629005,530629005,852
1500000US530530629006,530629006,857
1500000US530530630001,530630001,1280
1500000US530530630002,530630002,1769
1500000US530530631001,530631001,881
1500000US530530631002,530631002,1267
1500000US530530631003,530631003,830
1500000US530530631004,530631004,1481
1500000US530530632001,530632001,1171
1500000US530530632002,530632002,2091
1500000US530530632003,530632003,694
1500000US530530632004,530632004,730
1500000US530530632005,530632005,825
1500000US530530633001,530633001,1667
1500000US530530633002,530633002,3141
1500000US530530633003,530633003,1379
1500000US530530633004,530633004,1149
1500000US530530633005,530633005,1177
1500000US530530634001,530634001,910
1500000US530530634002,530634002,2317
1500000US530530634003,530634003,771
1500000US530530634004,530634004,646
1500000US530530634005,530634005,1474
1500000US530530634006,530634006,1235
1500000US530530635011,530635011,801
1500000US530530635012,530635012,1103
1500000US530530635013,530635013,1059
1500000US530530635014,530635014,1400
1500000US530530635021,530635021,1149
1500000US530530635022,530635022,2239
1500000US530530635023,530635023,1483
1500000US530530701001,530701001,688
1500000US530530701002,530701002,0
1500000US530530701003,530701003,1735
1500000US530530701004,530701004,1385
1500000US530530702031,530702031,2286
1500000US530530702032,530702032,2699
1500000US530530702033,530702033,693
1500000US530530702041,530702041,1614
1500000US530530702042,530702042,2240
1500000US530530702051,530702051,2325
1500000US530530702052,530702052,895
1500000US530530702061,530702061,1699
1500000US530530702062,530702062,1305
1500000US530530702063,530702063,1038
1500000US530530702071,530702071,1178
1500000US530530702072,530702072,1409
1500000US530530702073,530702073,1184
1500000US530530702074,530702074,1402
1500000US530530703071,530703071,1073
1500000US530530703072,530703072,1895
1500000US530530703073,530703073,2309
1500000US530530703081,530703081,1830
1500000US530530703082,530703082,1726
1500000US530530703091,530703091,1031
1500000US530530703092,530703092,2072
1500000US530530703093,530703093,2170
1500000US530530703101,530703101,1914
1500000US530530703102,530703102,739
1500000US530530703103,530703103,1941
1500000US530530703104,530703104,728
1500000US530530703111,530703111,1477
1500000US530530703112,530703112,1531
1500000US530530703113,530703113,2094
1500000US530530703121,530703121,1167
1500000US530530703122,530703122,3028
1500000US530530703123,530703123,1498
1500000US530530703131,530703131,1426
1500000US530530703132,530703132,873
1500000US530530703133,530703133,1529
1500000US530530703134,530703134,761
1500000US530530703135,530703135,1051
1500000US530530703141,530703141,1890
1500000US530530703142,530703142,1380
1500000US530530703151,530703151,1615
1500000US530530703152,530703152,1440
1500000US530530703153,530703153,1835
1500000US530530703154,530703154,707
1500000US530530703161,530703161,1661
1500000US530530703162,530703162,4095
1500000US530530704011,530704011,1562
1500000US530530704012,530704012,732
1500000US530530704031,530704031,976
1500000US530530704032,530704032,625
1500000US530530704033,530704033,2201
1500000US530530704041,530704041,2867
1500000US530530704042,530704042,2003
1500000US530530707031,530707031,925
1500000US530530707032,530707032,1500
1500000US530530707033,530707033,2000
1500000US530530707034,530707034,831
1500000US530530707035,530707035,942
1500000US530530711001,530711001,1359
1500000US530530711002,530711002,969
1500000US530530712051,530712051,1859
1500000US530530712052,530712052,3007
1500000US530530712061,530712061,885
1500000US530530712062,530712062,883
1500000US530530712063,530712063,2120
1500000US530530712064,530712064,2664
1500000US530530712071,530712071,1237
1500000US530530712072,530712072,2808
1500000US530530712073,530712073,2309
