id,Y14_busi,Y14_sci,Y14_edleg,Y14_health,Y14_serve,Y14_saleoff,Y14_extract,Y14_logist
530607004,0.08,0.050434783,0.095652174,0,0.347826087,0.246956522,0.194782609,0
530607005,0.026269702,0.031523643,0.136602452,0.014010508,0.327495622,0.42732049,0.012259194,0.012259194
530607006,0.288590604,0.063758389,0.211409396,0.05033557,0.248322148,0.137583893,0,0
530608001,0.105150215,0.154506438,0.246781116,0.072961373,0,0.231759657,0.107296137,0.0472103
530608002,0.311320755,0.129716981,0.160377358,0,0.061320755,0.129716981,0.219339623,0.030660377
530608003,0.219512195,0.095121951,0.104878049,0,0.253658537,0.163414634,0.141463415,0
530608004,0.050909091,0.058181818,0.178181818,0.207272727,0.090909091,0.24,0.189090909,0
530608005,0.242481203,0.028195489,0.105263158,0.118421053,0.146616541,0.197368421,0.139097744,0.07518797
530608006,0.112676056,0.014084507,0.376760563,0,0.107394366,0.177816901,0.235915493,0.024647887
530608007,0.288973384,0.041825095,0,0.136882129,0,0.273764259,0.372623574,0.053231939
530609031,0.108991826,0.029972752,0.10626703,0.054495913,0.310626703,0.286103542,0.035422343,0.035422343
530609032,0.153846154,0.064102564,0.067307692,0.166666667,0.224358974,0.237179487,0,0
530609033,0.146376812,0.069565217,0.143478261,0.105797101,0.204347826,0.168115942,0.185507246,0.037681159
530609041,0.074712644,0.025862069,0.106321839,0,0.270114943,0.206896552,0.373563218,0
530609042,0.166981132,0.048113208,0.136792453,0.016037736,0.250943396,0.16509434,0.18490566,0.052830189
530609043,0.087719298,0.026315789,0.094298246,0.026315789,0.153508772,0.293859649,0,0
530609044,0.120578778,0.022508039,0,0.096463023,0.258842444,0.368167203,0.173633441,0
530609051,0.215921483,0.01308615,0.162486369,0.125408942,0.123227917,0.183206107,0.070883315,0.070883315
530609052,0,0,0.048632219,0.106382979,0.23100304,0.294832827,0.133738602,0.133738602
530609053,0.29281768,0.063535912,0.154696133,0,0.124309392,0.193370166,0.044198895,0.044198895
530609054,0.261261261,0,0.174174174,0.105105105,0.21021021,0.156156156,0.132132132,0
530609055,0.200371058,0.07606679,0.20593692,0.113172542,0.150278293,0.228200371,0.025974026,0.025974026
530609061,0.208083832,0.04491018,0.154191617,0.046407186,0.155688623,0.19011976,0.112275449,0.016467066
530609062,0.093373494,0.012048193,0.177710843,0.015060241,0.174698795,0.313253012,0.207831325,0.069277108
530610011,0.109589041,0.043378995,0.0456621,0.068493151,0.150684932,0.394977169,0.132420091,0.02739726
530610012,0.279605263,0.032894737,0.032894737,0.325657895,0.108552632,0.220394737,0,0
530610013,0.157110092,0.088302752,0.138761468,0.135321101,0.119266055,0.222477064,0.174311927,0.013761468
530610021,0.038461538,0.016483516,0.104395604,0.075549451,0.5,0.197802198,0.093406593,0
530610022,0.170634921,0,0.126984127,0.025793651,0,0.43452381,0.246031746,0.138888889
530610023,0.034090909,0.034090909,0.105113636,0,0.224431818,0.372159091,0.073863636,0
530610024,0.069486405,0.069486405,0.078549849,0,0.123867069,0.404833837,0.157099698,0
530611001,0.026941363,0,0.182250396,0.053882726,0.237717908,0.450079239,0.098256735,0
530611002,0.137777778,0.075555556,0.057777778,0,0.235555556,0.062222222,0.257777778,0
530611003,0.077777778,0.051851852,0.085185185,0,0.159259259,0.285185185,0.218518519,0.055555556
530611004,0,0,0.331010453,0,0.324041812,0.128919861,0.111498258,0
530611005,0.175409836,0,0.026229508,0.124590164,0.129508197,0.229508197,0.180327869,0.108196721
530611006,0.057571965,0.065081352,0.226533166,0.075093867,0.146433041,0.151439299,0.035043805,0
530611007,0.27402863,0,0.106339468,0.022494888,0.116564417,0.224948875,0.063394683,0.063394683
530612001,0.103021978,0.108516484,0.126373626,0.037087912,0.313186813,0.149725275,0.03021978,0
530612002,0.234042553,0.021276596,0.124620061,0.024316109,0.203647416,0.328267477,0.024316109,0.024316109
530612003,0.054761905,0,0.252380952,0.116666667,0.283333333,0.104761905,0.185714286,0.061904762
530612004,0.065637066,0.104247104,0.044401544,0.015444015,0.283783784,0.386100386,0.127413127,0
530612005,0.302114804,0.187311178,0.235649547,0,0.054380665,0.157099698,0.066465257,0
530612006,0.047916667,0.058333333,0.227083333,0.202083333,0.327083333,0.110416667,0.054166667,0
530613001,0.227106227,0.051282051,0.128205128,0,0.216117216,0.249084249,0.087912088,0
530613002,0.080597015,0.026865672,0.134328358,0.008955224,0.319402985,0.140298507,0.113432836,0
