id,newid,Y15_WP,Y15_BP,Y15_NP,Y15_AP,Y15_PP,Y15_OP,Y15_MP,Y15_MOP,Y15_MOEP
1500000US530530714091,530714091,0.571762871,0.079563183,0.012480499,0.049141966,0.120124805,0,0.166926677,0,0.166926677
1500000US530530714092,530714092,0.625976563,0.006835938,0,0.026367188,0.323242188,0,0.017578125,0,0.017578125
1500000US530530714093,530714093,0.627286585,0.141768293,0.003810976,0.104420732,0.012195122,0.009908537,0.100609756,0.009146341,0.091463415
1500000US530530714094,530714094,0.763657957,0.028503563,0.117577197,0.034441805,0,0.013064133,0.042755344,0,0.042755344
1500000US530530714101,530714101,0.824478816,0.08137189,0,0.075319435,0,0,0.018829859,0,0.018829859
1500000US530530714102,530714102,0.909378961,0,0.065272497,0.007604563,0,0,0.01774398,0,0.01774398
1500000US530530714103,530714103,0.629396985,0.193886097,0,0.16959799,0,0,0.007118928,0,0.007118928
1500000US530530714104,530714104,0.776699029,0.165048544,0.014563107,0.037621359,0,0.006067961,0,0,0
1500000US530530714111,530714111,0.504266212,0.222696246,0.003412969,0.042662116,0.049061433,0.064846416,0.113054608,0.009385666,0.103668942
1500000US530530714112,530714112,0.91512605,0,0.009243697,0,0.032773109,0,0.042857143,0,0.042857143
1500000US530530714113,530714113,0.775216138,0.08184438,0,0.013256484,0,0.011527378,0.11815562,0.021902017,0.096253602
1500000US530530715031,530715031,0.661466459,0.111544462,0.047581903,0.035101404,0,0,0.144305772,0.00624025,0.138065523
1500000US530530715032,530715032,0.673458991,0.074375955,0.045848192,0.01171676,0.04330107,0.028018339,0.123280693,0,0.123280693
1500000US530530715033,530715033,0.706666667,0.188333333,0,0.068333333,0,0,0.036666667,0,0.036666667
1500000US530530715034,530715034,0.766479663,0.063113604,0,0.061009818,0,0.016830295,0.09256662,0.030154278,0.062412342
1500000US530530715041,530715041,0.732847602,0.136004857,0,0.017607772,0.029751063,0.028536733,0.055251973,0,0.055251973
1500000US530530715042,530715042,0.798966651,0.059182715,0,0.057773603,0.007984969,0.001409112,0.07468295,0.00234852,0.072334429
1500000US530530715043,530715043,0.610804851,0.080485116,0,0.088202867,0,0,0.220507166,0.011025358,0.209481808
1500000US530530715044,530715044,0.476190476,0.183549784,0.004329004,0.218181818,0.044155844,0.007792208,0.065800866,0,0.065800866
1500000US530530715051,530715051,0.560736196,0.136196319,0,0.089570552,0.128220859,0.005521472,0.079754601,0,0.079754601
1500000US530530715052,530715052,0.852766798,0.052371542,0,0.019762846,0,0,0.075098814,0,0.075098814
1500000US530530715053,530715053,0.73891129,0.135080645,0,0.067540323,0,0,0.058467742,0.058467742,0
1500000US530530715054,530715054,0.711079944,0.082748948,0,0.01542777,0.067321178,0.01542777,0.10799439,0.014726508,0.093267882
1500000US530530715061,530715061,0.76,0.126829268,0.00097561,0.011707317,0.013658537,0.011707317,0.075121951,0,0.075121951
1500000US530530715062,530715062,0.628131021,0.061175337,0.007707129,0.035163776,0.105009634,0.055876686,0.106936416,0.003853565,0.103082852
1500000US530530715063,530715063,0.590065228,0.139989965,0.015052684,0.130456598,0.096838936,0.004515805,0.023080783,0,0.023080783
1500000US530530716011,530716011,0.393590104,0.163339893,0.030924937,0.084621872,0,0.278605566,0.048917627,0.028394715,0.020522913
1500000US530530716012,530716012,0.655598456,0.034749035,0.009266409,0.238610039,0.002316602,0.001544402,0.057915058,0,0.057915058
1500000US530530716021,530716021,0.553023256,0.071162791,0,0.148837209,0.082325581,0.02372093,0.120930233,0,0.120930233
1500000US530530716022,530716022,0.61387632,0.138763198,0,0.12745098,0,0.073152338,0.046757164,0.012820513,0.033936652
1500000US530530716023,530716023,0.496251874,0.144427786,0,0.194402799,0.026986507,0,0.137931034,0,0.137931034
1500000US530530716024,530716024,0.589087809,0.262574595,0.026427962,0.080988917,0,0,0.040920716,0,0.040920716
1500000US530530717031,530717031,0.483827493,0.208445642,0.011230907,0.095687332,0.008984726,0.15902965,0.03279425,0,0.03279425
1500000US530530717032,530717032,0.579483164,0.132341425,0,0.229444009,0,0.015661707,0.043069695,0,0.043069695
1500000US530530717041,530717041,0.488546752,0.083740143,0.030792339,0.063462261,0.065339842,0.209162599,0.058956065,0,0.058956065
1500000US530530717042,530717042,0.564447592,0.14305949,0,0.009915014,0,0.066572238,0.216005666,0.016288952,0.199716714
1500000US530530717043,530717043,0.353006682,0.198218263,0.108017817,0.035634744,0,0.113585746,0.191536748,0,0.191536748
1500000US530530717051,530717051,0.647230321,0.009475219,0,0.112973761,0.036443149,0.141399417,0.052478134,0,0.052478134
1500000US530530717052,530717052,0.649529327,0.094134685,0.066618392,0.055032585,0.081824765,0.028964518,0.023895728,0,0.023895728
1500000US530530717053,530717053,0.579588015,0.031835206,0.054307116,0.101123596,0.0917603,0.005617978,0.13576779,0,0.13576779
1500000US530530717061,530717061,0.575854701,0.169871795,0.001602564,0.041132479,0.123931624,0.013888889,0.073717949,0,0.073717949
1500000US530530717071,530717071,0.757871878,0.160694897,0,0.057546145,0.008686211,0,0.015200869,0,0.015200869
1500000US530530717072,530717072,0.790229885,0.063218391,0.031609195,0.056034483,0,0,0.058908046,0,0.058908046
1500000US530530717073,530717073,0.753036437,0.088259109,0,0.115789474,0.004048583,0.003238866,0.03562753,0,0.03562753
1500000US530530718031,530718031,0.532986111,0.190972222,0.016203704,0.109375,0,0.030671296,0.119791667,0,0.119791667
1500000US530530718032,530718032,0.675980171,0.177557458,0,0.088778729,0,0.013519603,0.044164038,0,0.044164038
1500000US530530718033,530718033,0.577266922,0.286079183,0,0.014048531,0.01660281,0.085568327,0.020434227,0,0.020434227
1500000US530530718034,530718034,0.921717172,0.017676768,0,0.060606061,0,0,0,0,0
1500000US530530718051,530718051,0.323665893,0.070765661,0,0.267981439,0,0.321345708,0.016241299,0,0.016241299
1500000US530530718052,530718052,0.365767878,0.060375147,0,0.259671747,0.050410317,0.083821805,0.179953107,0,0.179953107
1500000US530530718053,530718053,0.247052519,0.151125402,0.08306538,0.092711683,0.210610932,0.105037513,0.11039657,0,0.11039657
