y15_School,y15_LuPer,y15_TI,y15_NaPer,y15_LaPer,y15_BlPer,y15_PaPer
HARVARD ELEMENTARY,0.805164319,1,0.002347418,0.551643192,0.082159624,0.025821596
Helen Stafford,0.782273603,1,0.003853565,0.267822736,0.098265896,0.05973025
JAMES SALES ELEMENTARY,0.792576419,1,0.013100437,0.329694323,0.102620087,0.061135371
Jason Lee,0.702020202,1,0.021885522,0.099326599,0.331649832,0.023569024
Jefferson,0.650485437,1,0.006472492,0.142394822,0.181229773,0.003236246
Larchmont,0.830548926,1,0.011933174,0.219570406,0.200477327,0.033412888
LINCOLN,0.78891258,1,0.013503909,0.234541578,0.275764037,0.039090263
Lister,0.889097744,1,0.009398496,0.180451128,0.278195489,0.054511278
Lowell,0.175,0,0.004545455,0.086363636,0.079545455,0.009090909
Lyon,0.824046921,1,0.011730205,0.313782991,0.158357771,0.032258065
Manitou Park,0.848387097,1,0.012903226,0.275806452,0.266129032,0.041935484
Mann,0.755600815,1,0.020366599,0.193482688,0.189409369,0.044806517
Mason,0.355501814,0,0.009673519,0.07496977,0.112454655,0.012091898
McCarver,0.929742389,1,0.016393443,0.117096019,0.407494145,0.016393443
Meeker,0.324695122,0,0.015243902,0.097560976,0.111280488,0.010670732
MIDLAND ELEMENTARY,0.680529301,1,0.003780718,0.29489603,0.102079395,0.058601134
MORRIS FORD MIDDLE SCHOOL,0.736442516,1,0.006507592,0.273318872,0.092190889,0.029284165
MT TAHOMA,0.743137255,1,0.01503268,0.228104575,0.206535948,0.038562092
NACHES TRAIL ELEMENTARY,0.526200873,1,0.015283843,0.133187773,0.048034934,0.026200873
Northeast Tacoma,0.55613577,1,0.01305483,0.216710183,0.114882507,0.028720627
OAKLAND HIGH SCHOOL,0.790598291,1,0.017094017,0.175213675,0.316239316,0.047008547
PERRY G KEITHLEY MIDDLE SCHOOL,0.759388039,1,0.004172462,0.254520167,0.136300417,0.077885953
Point Defiance,0.476635514,1,0.01635514,0.102803738,0.109813084,0.007009346
Reed,0.839400428,1,0.004282655,0.346895075,0.2248394,0.038543897
Roosevelt,0.870722433,1,0.030418251,0.292775665,0.212927757,0.041825095
SCIENCE AND MATH INSTITUTE,0.383442266,0,0.008714597,0.080610022,0.102396514,0.013071895
Sheridan,0.864686469,1,0.00660066,0.392739274,0.207920792,0.0330033
Sherman,0.308823529,1,0.009803922,0.078431373,0.06127451,0
Skyline,0.600515464,1,0.00257732,0.12628866,0.149484536,0.007731959
SPANAWAY MIDDLE SCHOOL,0.630136986,1,0.024657534,0.197260274,0.120547945,0.049315068
STADIUM,0.36547619,0,0.01547619,0.110119048,0.146428571,0.010119048
Stanley,0.868965517,1,0.017241379,0.155172414,0.375862069,0.04137931
Stewart,0.820638821,1,0.029484029,0.174447174,0.267813268,0.022113022
TACOMA SCHOOL OF THE ARTS,0.391554702,0,0.013435701,0.130518234,0.147792706,0.005758157
THOMPSON PRESCHOOL,0.458333333,1,0,0.416666667,0.041666667,0
Truman,0.569920844,1,0.01055409,0.110817942,0.162269129,0.013192612
WALLER ROAD ELEMENTARY,0.491467577,1,0.013651877,0.153583618,0.020477816,0.006825939
Washington-Hoyt,0.184510251,0,0,0.08428246,0.050113895,0.002277904
WASHINGTON HIGH SCHOOL,0.735263702,1,0.008273009,0.178903826,0.169596691,0.108583247
WAVA,0.110447761,0,0.017910448,0.107462687,0.062686567,0.005970149
Whitman,0.801401869,1,0.014018692,0.168224299,0.212616822,0.046728972
Whittier,0.453815261,1,0,0.116465863,0.170682731,0.006024096
WILLIE STEWART ACADEMY,0.632653061,0,0.020408163,0.234693878,0.275510204,0.030612245
WILSON,0.447949527,1,0.011829653,0.085962145,0.188485804,0.007886435
