,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,p_XCOORD,p_YCOORD,pG_hwc_raster_val,pG_hsc_raster_val,pG_rrc_raster_val,pG_tric_raster_val,pG_slo_raster_val,pD_pard_none_dist,pD_wad_none_dist,pG_parc_raster_val,pG_wac_raster_val,pG_ele_raster_val,pE_hsd_none_dist,pE_hwd_none_dist,pE_rrd_none_dist,pF_trid_none_dist,pD_psd_none_dist
pG_tric_raster_val,-0.17411759303969462,0.23381275599449933,0.21380565297892754,-0.1711434369610951,0.1001423431374368,0.3746035190310711,-0.025184380843161696,0.3069920017963446,0.12768178148915274,0.359443125291479,1.0,0.2201758549648751,-0.16475680758000366,-0.041589965128013974,0.12176189764738832,-0.11109649735926938,-0.3563612051878261,-0.18908010582545198,-0.373702060449719,-0.4220748436778297,-0.4864619301114779,-0.24407790565094387
pG_slo_raster_val,0.1969591026878522,0.0825913776759971,0.17540079356375318,0.004442050957574378,0.14643969750508695,0.212636006274524,-0.03747275909494382,0.4115715520162286,0.026928808548578823,0.40248165741513053,0.2201758549648751,1.0,-0.14174801924470415,0.4394488795014788,-0.16273455077853394,-0.29493296797643465,-0.27356302891248535,-0.07888997387940572,-0.2730710103983745,-0.430261380560013,-0.15591166054323116,-0.2973039967865815
pD_pard_none_dist,0.29221934299080893,0.13020907454865827,-0.05617721646232943,-0.19782991282958623,-0.1341533038158264,0.1957387695710058,-0.38028109251548525,0.12514681847120324,-0.008427597988178395,0.11749306371986555,-0.16475680758000366,-0.14174801924470415,1.0,0.2887860064463883,-0.4763072701183314,-0.17686771780977867,-0.13283215043051982,-0.08065896659055577,0.09645524042031094,0.01853733988271341,-0.06389154880968627,0.26732039723545076
pD_wad_none_dist,0.3926130601937853,0.09114959761234169,0.07966492703621122,0.0881622944171102,0.09853083175388938,0.4787567153825168,-0.15356693376591488,0.4746686618270512,-0.29505429734380934,0.47787672037633905,-0.041589965128013974,0.4394488795014788,0.2887860064463883,1.0,-0.18642104907038837,-0.7314572866069038,-0.3164924383292778,0.24594445620411615,-0.0072538641229805325,-0.4632512357636153,-0.21685121118444464,-0.24349474336405214
pG_parc_raster_val,-0.17934548861219723,-0.3536383266289092,-0.042570148861671535,0.13796413475493458,0.07001683913576323,-0.10193185748969985,0.42987384779949506,-0.1672346716492054,-0.22324067572866546,-0.1925793242820801,0.12176189764738832,-0.16273455077853394,-0.4763072701183314,-0.18642104907038837,1.0,-0.08370864223647742,0.22572177017858575,0.3325690167419358,0.028002189236911727,0.20117041287229315,-0.08821282129468713,-0.30386239846259416
pG_wac_raster_val,-0.13995329064018341,0.03217152613167548,-0.10509639730477031,-0.35853530688274093,-0.24890956128463612,-0.4622592932206519,-0.14610215890865563,-0.23232896318434768,0.6258002978738916,-0.33490618200756916,-0.11109649735926938,-0.29493296797643465,-0.17686771780977867,-0.7314572866069038,-0.08370864223647742,1.0,0.21556098628794648,-0.5487717085894929,-0.3040976584412809,0.5075661207832942,0.06368703433295705,0.3593825597367581
pG_ele_raster_val,-0.18235896596064294,-0.2845002631067625,-0.16911826326733767,0.039950900363548064,-0.0929039414612136,-0.44941948717731545,0.01630978742172419,-0.7086215405050196,-0.3384396887623488,-0.783495650111335,-0.3563612051878261,-0.27356302891248535,-0.13283215043051982,-0.3164924383292778,0.22572177017858575,0.21556098628794648,1.0,0.1533516058731299,0.3251942486521989,0.5858882477966679,0.2731290817427499,0.39554187244436334
pE_hsd_none_dist,-0.2375796397896135,-0.03525499677462239,-0.07800756852493539,0.6789804753006058,0.2470940476217056,-0.17454881253315457,0.6607622299233986,-0.31817762409441863,-0.6486819775139432,-0.1503284583229474,-0.18908010582545198,-0.07888997387940572,-0.08065896659055577,0.24594445620411615,0.3325690167419358,-0.5487717085894929,0.1533516058731299,1.0,0.6740288967301232,-0.15419833978865005,0.5152790238244298,-0.4588639208331815
pE_hwd_none_dist,-0.18676008457064242,-0.223564667506827,-0.17075736533822988,0.699229941977445,0.15517801889730462,-0.2596833089793991,0.37350009423956376,-0.638951743021761,-0.7253666576660549,-0.4773533759591343,-0.373702060449719,-0.2730710103983745,0.09645524042031094,-0.0072538641229805325,0.028002189236911727,-0.3040976584412809,0.3251942486521989,0.6740288967301232,1.0,0.05589907515456254,0.7037536842007114,0.043276514725363514
pE_rrd_none_dist,-0.08326899406821836,-0.186240366135545,-0.22890820200882686,-0.22332181531452872,-0.26972680577249425,-0.4244312428248733,-0.19140148501567433,-0.5355727272288655,0.14139505993829884,-0.7081065036655296,-0.4220748436778297,-0.430261380560013,0.01853733988271341,-0.4632512357636153,0.20117041287229315,0.5075661207832942,0.5858882477966679,-0.15419833978865005,0.05589907515456254,1.0,0.16124907217807452,0.5866563544731723
pF_trid_none_dist,-0.3557506388572455,-0.08251871118744145,-0.10487148398279397,0.6027859552773184,0.13447599226420937,-0.6865878444094553,0.5753836741297464,-0.6487294387641479,-0.35838420467915955,-0.527446908126242,-0.4864619301114779,-0.15591166054323116,-0.06389154880968627,-0.21685121118444464,-0.08821282129468713,0.06368703433295705,0.2731290817427499,0.5152790238244298,0.7037536842007114,0.16124907217807452,1.0,-0.19271145592252464
pD_psd_none_dist,0.2021002538264973,-0.09184398232845364,-0.19180133341727612,-0.35833570821651173,-0.28010505625612214,0.07162977056913872,-0.7528116028624077,-0.2685023677158274,0.10183187605076988,-0.38435616511820514,-0.24407790565094387,-0.2973039967865815,0.26732039723545076,-0.24349474336405214,-0.30386239846259416,0.3593825597367581,0.39554187244436334,-0.4588639208331815,0.043276514725363514,0.5866563544731723,-0.19271145592252464,1.0
