siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_hwc_raster_val,pG_hsc_raster_val,pG_rrc_raster_val,pG_tric_raster_val,pG_slo_raster_val,pD_pard_none_dist,pD_wad_none_dist,pG_parc_raster_val,pG_wac_raster_val,pG_ele_raster_val,pE_hsd_none_dist,pE_hwd_none_dist,pE_rrd_none_dist,pF_trid_none_dist,pD_psd_none_dist
335,22.0,3.0,12.0,3.0,4.0,327,1151185.0565263927,707035.6539593041,1.0,3.0,0.0,0.0,0.274854838848114,2647.6559337557374,5432.811924425194,9.0,0.0,111.82247161865234,4586.144364782451,4974.053526894255,7230.478803931333,8220.452068423301,7281.762768305598
336,14.0,2.0,3.0,3.0,4.0,328,1152090.448416382,707013.4190956354,1.0,2.0,0.0,0.0,0.7857751250267029,2600.1451892903815,4617.879162358858,10.0,1.0,112.561767578125,4623.044252070941,4717.6326358767,6565.695952453945,8317.45103425675,6618.950098621229
337,12.0,2.0,3.0,3.0,4.0,329,1152388.8651423901,707016.5604935586,1.0,1.0,0.0,0.0,0.21616844832897186,2609.1554090969307,4352.122585462084,11.0,1.0,114.52082061767578,4635.2263278761275,4679.070418648242,6318.453073070943,8110.037285730839,6405.978800359528
338,22.0,2.0,3.0,3.0,4.0,330,1151398.8917286396,707043.8124075532,1.0,3.0,0.0,0.0,0.21566791832447052,2629.3523357928916,5232.3786749423325,9.0,1.0,111.60612487792969,4604.921634832482,4912.3926921690645,7060.980361592198,8247.82311291022,7111.751382093641
339,0.0,5.0,32.0,3.0,5.0,331,1135747.3875986338,707440.9441592246,2.0,10.0,4.0,0.0,0.41054558753967285,1053.1503619030211,1870.8659370495768,4.0,6.0,107.06250762939453,1123.1203707832237,1130.3932942494564,4079.340524866717,16881.50336269407,4114.281713382453
340,13.0,2.0,3.0,3.0,4.0,332,1152198.8478058875,707027.1346193999,1.0,2.0,0.0,0.0,0.4782637655735016,2615.99004307505,4515.095445884861,11.0,1.0,113.5192642211914,4642.175542571426,4713.907113985858,6477.7817245691085,8297.58763114599,6531.9594358846925
341,3.0,0.0,112.0,3.0,16.0,333,1135705.7754771411,707445.6656064689,2.0,10.0,4.0,0.0,0.49993374943733215,1019.6263429152037,1832.3572917152512,4.0,6.0,107.06250762939453,1081.3636304559116,1122.663020903869,4039.744494973991,16915.75333006561,4075.053949361329
342,1.0,5.0,6.0,3.0,4.0,334,1135766.15658997,707446.2984792292,2.0,10.0,4.0,0.0,0.41054558753967285,1063.470042943019,1884.649026587124,4.0,6.0,107.06250762939453,1141.6813961338976,1126.2884060023289,4093.980715225407,16871.04410960421,4128.626076476866
343,17.0,2.0,3.0,3.0,4.0,335,1151765.7538558096,707042.3160194755,1.0,3.0,0.0,0.0,0.09454715251922607,2621.4380001065897,4897.663477427287,10.0,1.0,110.33451843261719,4628.905093179062,4811.851566199481,6785.14597489254,8292.09553885219,6836.21605734733
344,22.0,3.0,3.0,3.0,4.0,336,1150906.344813466,707065.6056710631,1.0,3.0,0.0,0.0,0.1319277435541153,2736.10334604946,5680.902587908817,8.0,0.0,111.67188262939453,4461.900003650275,5104.2283992860075,7378.89851519124,8233.581003164249,7481.933693523521
345,4.0,5.0,13.0,3.0,4.0,337,1135741.6832137257,707450.9428268969,2.0,10.0,4.0,0.0,0.41054558753967285,1042.1889274192272,1861.00093026705,4.0,6.0,107.06250762939453,1117.0547924164428,1120.0402007409198,4069.889655846707,16892.41083359921,4104.679254183137
346,17.0,2.0,3.0,3.0,4.0,338,1151868.4373774678,707045.9564321488,1.0,3.0,0.0,0.0,0.1611635684967041,2627.41923643518,4803.084464360451,10.0,1.0,110.38401794433594,4641.185760345167,4792.334008819354,6706.460116566524,8311.355342265859,6757.898338684371
347,5.0,5.0,24.0,3.0,4.0,339,1135719.8144910485,707460.2630182207,2.0,10.0,4.0,0.0,0.41054558753967285,1019.787693642044,1837.3652305674266,4.0,6.0,107.06250762939453,1094.8604173229394,1109.2981022821407,4046.138463912273,16914.946107937914,4080.9570142623784
348,1.0,5.0,3.0,3.0,4.0,340,1135798.3271293044,707460.793528974,2.0,10.0,4.0,0.0,0.41054558753967285,1078.322890396745,1905.9965037896834,4.0,6.0,107.4087142944336,1173.3013602836859,1113.9464908592952,4116.804909765845,16856.698845612475,4150.951500290781
349,1.0,5.0,121.0,3.0,18.0,341,1135659.5560813844,707464.3702934831,2.0,10.0,4.0,0.0,0.49993374943733215,973.5626491107902,1782.9756059976328,4.0,6.0,106.06062316894531,1034.4922367138458,1099.4930623593416,3989.9738923162563,16962.753203530603,4025.3883533770822
350,20.0,4.0,95.0,3.0,12.0,342,1150696.796676144,707089.8175648898,1.0,3.0,0.0,0.0,0.46998724341392517,2725.764689979168,5868.760380704867,7.0,0.0,111.1485366821289,4335.595525541261,5211.430920995855,7456.001076475195,8251.405794400796,7564.443272857221
351,1.0,5.0,121.0,3.0,18.0,343,1135754.1067453027,707470.3250059783,2.0,10.0,4.0,0.0,0.5787273049354553,1038.5355084106209,1862.5389485431788,4.0,6.0,107.06250762939453,1128.7625085704485,1101.5195213133502,4072.7778072490337,16896.027423686122,4107.101391610287
352,11.0,2.0,3.0,3.0,4.0,344,1152672.9406897277,707042.3196283877,1.0,1.0,0.0,0.0,0.36136725544929504,2640.4966632343553,4090.377243033745,12.0,1.0,116.24143981933594,4668.066923358593,4682.597558704963,6033.803428347757,7824.900086656476,6192.91888614923
353,22.0,4.0,14.0,8.0,9.0,345,1150332.5526539683,707106.5924657285,0.0,3.0,0.0,0.0,0.16219639778137207,2501.9974606261285,6033.304811129181,6.0,0.0,108.17481231689453,4112.639170179385,5390.02664091173,7590.083530939107,8269.77178863276,7728.907306119564
354,5.0,5.0,115.0,3.0,16.0,346,1135727.9991859645,707479.0251198113,2.0,10.0,4.0,0.0,0.5787273049354553,1013.2101439970327,1835.4480197148478,4.0,6.0,107.06250762939453,1102.355084335191,1091.1166080572468,4045.4644404443757,16921.30463213796,4079.8539870636055
