id,Y14_avgsch
530731232,13.61479347
530731241,12.67192691
530731242,13.04707044
530731251,13.38666415
530731252,13.55387409
530731253,12.85179442
530731261,13.80788057
530732001,13.39659224
530732002,12.86448598
530732003,13.00274123
530732004,12.67403487
530733011,12.81813445
530733012,11.94791667
530733013,13.51162791
530733014,12.57515823
530733021,12.91024229
530733022,13.52646396
530733023,13.40169271
530734041,12.76744186
530734042,11.76872536
530734043,13.44337812
530734044,13.40065789
530734045,14.10677966
530734051,12.71356978
530734052,13.28314917
530734061,14.20498392
530734062,12.84778122
530734063,12.82779052
530734071,13.02102804
530734072,12.98796992
530734073,13.53915663
530734081,13.15065681
530734082,13.72123894
530734083,12.52195946
530735001,14.10579858
530735002,13.9371134
530735003,12.53436019
530735004,13.84925373
530735005,12.56670902
530735006,12.7876506
539400011,14.40299228
539400012,14.70939734
539400021,12.99951124
539400022,12.46178756
539400023,13.35175202
539400031,13.74592522
539400032,13.02924528
539400033,12.41901408
539400041,13.09609293
539400042,13.50280899
539400043,12.61320755
539400044,12.75427683
539400045,13.24203822
539400046,13.31858803
539400051,12.8777666
539400052,13.08866279
539400053,13.2599278
539400061,10.78253012
539400062,11.80746562
539400071,11.94199536
539400072,11.9
539400073,11.21856287
539400081,13.8880856
539400082,13.57806081
539400083,14.79029029
539400091,13.41492777
539400092,13.35435631
539400101,13.21953125
539400102,12.43842557
539400103,13.02654867
539400111,14.49515973
539400112,15.11742984
539400113,14.47115385
