total,no_yr,nurs_scl,kndr,oneyr,twoyr,threeyr,fouryr,fiveyr,sixyr,sevenyr,eightyr,nineyr,tenyr,elevenyr,twelveyr_nd,twelveyr,GED,sub_thirteenyr,thirteenyr,fourteenyr,sixteenyr,eighteenyr,prof_scl,doctorate,id,id,Y2014_Ed_TTL,Y2014_Ed_Avg
688,0,0,0,0,0,0,0,0,0,0,14,0,0,26,29,192,34,18,177,100,98,0,0,0,530611007,530611007,8937.5,12.99055233
1017,0,0,0,0,11,0,0,0,11,0,0,13,0,13,57,250,28,24,226,185,117,82,0,0,530612001,530612001,13515.5,13.28957719
439,0,0,0,0,0,7,0,0,8,0,0,0,0,24,13,84,19,31,43,88,90,11,13,8,530612002,530612002,5929,13.50569476
550,0,0,0,0,0,0,0,0,0,11,33,8,26,44,39,104,0,0,34,47,164,33,0,7,530612003,530612003,7311.5,13.29363636
688,0,0,0,0,0,0,0,0,9,0,18,9,47,25,7,255,59,57,48,55,67,14,18,0,530612004,530612004,8627,12.53924419
524,0,0,0,0,0,0,0,0,0,0,11,0,6,11,19,82,25,34,81,8,157,90,0,0,530612005,530612005,7493.5,14.30057252
514,0,0,0,0,0,0,0,0,11,0,0,0,0,17,0,93,21,39,62,79,100,73,19,0,530612006,530612006,7276.5,14.15661479
508,27,0,0,0,6,0,0,0,0,6,43,7,0,11,8,131,55,16,72,17,72,13,16,8,530613001,530613001,6114,12.03543307
640,18,0,0,0,0,0,35,8,0,0,0,0,0,7,14,155,9,69,148,37,112,28,0,0,530613002,530613002,7986.5,12.47890625
604,11,0,0,0,0,0,0,0,15,0,0,6,0,49,31,192,60,47,80,45,45,0,0,23,530613003,530613003,7501,12.41887417
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66,36,13,118,0,68,33,0,0,530613004,530613004,4660,13.74631268
452,14,0,0,0,0,0,0,0,14,28,13,0,6,0,0,142,61,18,45,59,52,0,0,0,530613005,530613005,5348,11.83185841
531,18,0,0,0,0,0,0,0,0,8,0,12,34,24,7,102,49,22,70,30,94,48,0,13,530613006,530613006,6893.5,12.98210923
551,0,0,0,0,6,15,12,0,2,0,0,29,12,23,7,121,68,20,158,47,17,8,0,6,530614001,530614001,6597.5,11.97368421
1419,12,0,0,0,0,0,0,8,10,4,29,56,208,176,9,216,276,78,258,29,30,20,0,0,530614002,530614002,16462.5,11.60147992
664,43,0,0,0,8,0,0,37,0,0,13,13,36,44,15,173,52,36,74,48,59,13,0,0,530614003,530614003,7400.5,11.14533133
1300,14,0,0,0,0,0,0,0,0,0,0,0,56,0,0,249,30,33,159,133,359,162,78,27,530615001,530615001,18853.5,14.50269231
1108,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,155,19,101,181,187,276,58,64,0,530615002,530615002,15670.5,14.14305054
695,22,0,0,0,0,0,0,0,0,0,61,8,19,15,0,121,0,39,172,22,101,58,43,14,530615003,530615003,9112.5,13.11151079
796,8,0,0,0,0,0,0,0,0,3,0,0,0,0,64,52,86,35,181,140,172,48,0,7,530615004,530615004,10919.5,13.71796482
1560,17,0,0,0,0,0,0,27,90,0,10,0,19,53,21,258,60,111,327,103,262,116,68,18,530616011,530616011,20530,13.16025641
573,9,0,0,0,0,0,0,0,0,0,13,29,0,6,0,32,36,51,131,77,121,52,13,3,530616021,530616021,7831.5,13.66753927
605,5,0,0,5,0,0,0,0,0,0,0,66,0,0,19,54,8,47,167,37,134,42,21,0,530617001,530617001,8116,13.41487603
424,0,0,0,0,0,0,0,0,0,0,0,0,42,79,0,76,17,17,110,22,61,0,0,0,530617002,530617002,5331.5,12.57429245
558,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,185,0,25,156,34,94,35,7,0,530617003,530617003,7511,13.46057348
340,41,0,0,0,0,0,0,0,37,0,0,0,0,0,12,18,42,49,62,7,32,40,0,0,530617004,530617004,3828.5,11.26029412
728,0,0,0,0,0,0,0,0,0,0,25,6,0,57,0,219,51,69,112,76,68,36,9,0,530617005,530617005,9401.5,12.91414835
601,0,0,0,0,0,0,0,11,0,0,6,0,4,6,36,165,19,30,211,51,52,10,0,0,530618001,530618001,7675,12.7703827
563,0,0,0,0,0,0,20,0,13,0,47,13,17,0,20,198,91,36,42,38,22,6,0,0,530618002,530618002,6507,11.55772647
361,0,0,0,0,0,0,0,0,0,0,0,0,6,21,46,42,28,41,87,32,45,13,0,0,530618003,530618003,4705.5,13.03462604
651,0,0,0,0,0,0,0,0,74,7,5,20,0,0,3,121,51,50,84,57,86,81,4,8,530619001,530619001,8392.5,12.89170507
739,0,0,0,0,0,0,22,0,0,0,6,3,19,59,3,259,47,27,100,51,133,10,0,0,530619002,530619002,9368,12.67658999
697,0,0,0,0,0,0,8,0,28,6,9,52,32,21,17,142,81,70,129,29,47,7,19,0,530620001,530620001,8382.5,12.02654232
575,10,0,0,0,0,4,0,0,30,0,6,20,14,9,9,149,32,32,84,69,96,5,6,0,530620002,530620002,7126.5,12.39391304
718,13,0,0,0,0,0,12,0,13,0,11,0,0,8,14,176,31,42,122,122,128,16,10,0,530620003,530620003,9282,12.9275766
903,86,0,0,0,0,0,0,10,0,0,0,11,18,26,32,239,31,59,142,181,68,0,0,0,530620004,530620004,10428.5,11.54872647
842,0,0,0,0,0,0,0,25,3,0,0,9,25,15,34,326,65,70,134,29,97,10,0,0,530623001,530623001,10477,12.44299287
994,39,0,0,0,4,0,0,0,42,0,0,135,0,64,25,201,45,90,180,89,42,38,0,0,530623002,530623002,11485.5,11.55482897
730,36,0,0,0,0,10,0,0,0,7,0,8,72,0,0,156,31,26,149,109,107,8,11,0,530623003,530623003,8957,12.26986301
578,0,0,0,0,0,0,10,0,0,0,0,8,8,99,29,147,28,29,79,27,82,32,0,0,530623004,530623004,7370,12.75086505
1005,0,0,0,82,0,0,0,0,0,21,53,116,15,19,0,266,0,130,101,60,142,0,0,0,530624001,530624001,11298,11.24179104
583,57,0,0,0,0,0,0,0,0,0,0,0,0,12,28,149,42,73,59,99,40,24,0,0,530624002,530624002,6883.5,11.80703259
801,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,253,169,56,96,50,90,54,0,0,530624003,530624003,10454,13.05118602
755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,192,36,74,96,51,229,34,0,0,530624004,530624004,10393.5,13.76622517
544,14,0,0,0,0,0,0,0,0,0,0,0,70,5,16,47,11,72,226,13,42,14,14,0,530624005,530624005,6831,12.55698529
890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,193,58,145,167,43,129,41,0,0,530625001,530625001,11710.5,13.15786517
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,21,41,457,36,40,199,98,90,26,0,3,530625002,530625002,13045.5,12.90356083
485,0,0,0,0,0,0,0,0,0,27,0,14,0,14,0,105,0,31,143,39,89,23,0,0,530625003,530625003,6359.5,13.11237113
707,0,0,0,0,0,0,0,45,0,0,0,54,56,179,0,163,17,10,58,107,18,0,0,0,530625004,530625004,8065,11.40735502
1116,85,0,0,0,0,0,0,0,0,0,0,3,0,30,15,546,0,60,158,123,72,24,0,0,530625005,530625005,13191.5,11.8203405
619,8,0,0,0,0,0,0,0,0,9,0,22,20,26,0,270,21,32,79,41,43,34,0,14,530625006,530625006,7820,12.63327948
684,43,0,0,0,0,0,0,0,0,0,0,0,65,0,0,124,62,73,82,118,117,0,0,0,530625007,530625007,8384.5,12.25804094
715,0,0,0,0,0,0,0,0,0,0,0,7,17,23,0,226,87,52,131,34,121,10,7,0,530626001,530626001,9313,13.02517483
