OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
260,1853,Park,Local,3580 50th St Ct,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,6.4,0,http://www.cityofgigharbor.net/page.php?id=699,1,Kenneth Leo Marvin Veterans Memorial Park,6.40722841,Kenneth Leo Marvin Veterans Memorial Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2165.92192923478,279097.78270605
261,1854,Park,Local,Barksdale Av & Hopewell St,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,16,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Sellers Park,33.39233244,Sellers Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,8009.97680075112,1454499.99755131
262,1855,Park,Local,Penniman St & Louviers Av,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.6,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Ethel Lumsdon Park,0.60552227,Ethel Lumsdon Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,652.864575519368,26376.4351351645
263,1856,Park,Local,Palisade Blvd & Thompson Cir,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,2.309,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Clocktower Park,2.31086716,Clocktower Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1296.98805552109,100484.523989888
264,1857,Park,Local,1500 Wilmington Dr,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.83,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Ross Park,0.83821153,Ross Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,709.545035177812,36468.7890555438
265,1858,Park,Local,McNeil St,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,15.11,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Garry Oaks Park,15.11049242,Garry Oaks Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,12351.2040265685,658284.939023799
266,1859,Park,Local,1775 Bobs hollow Ln,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,24,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,DuPont PowderWorks Park,24.08902247,DuPont PowderWorks Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4872.05363075131,1049424.7054849
267,1860,Park,Local,1755 Brown Av,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,4.68,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Chief Leschi Park,4.68260073,Chief Leschi Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1882.46045712584,203842.03567459
268,1864,Park,Local,Barksdale Av,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.61,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Iafrati Park,0.61043492,Iafrati Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,772.764480768713,26616.5263787855
269,1865,Park,Local,6626 Wagner Way,Gig Harbor,98335,Private Owner,City of Gig Harbor,Dawn to Dusk,3,0,http://www.cityofgigharbor.net/page.php?id=699,1,Adam Tallman Park,3.00451689,Adam Tallman Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1526.773631928,130905.035206204
270,1866,Park,Local,6335 Radiance Blvd E,Fife,98424,City of Fife,City of Fife,Dawn to Dusk,5.16,0,http://www.cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks,1,5 - Acre Park,5.16965097,5 - Acre Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5008.01867689117,225337.419213097
271,1869,Park,Local,150 Alder St E,Eatonville,98328,Town of Eatonville,Town of Eatonville,Dawn to Dusk,5.23,0,http://www.eatonville-wa.gov/node/18,1,Millpond Park,4.96224778,Millpond Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2736.12287659097,216154.66933149
272,1870,Park,Local,9702 Crescent Valley Road,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,1.488,0,http://www.cityofgigharbor.net/page.php?id=699,1,BMX Park,1.48830566,BMX Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1345.83727929447,64830.3305281886
273,1871,Park,Local,8714 North Harborview Dr,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,http://www.cityofgigharbor.net/page.php?id=699#Cushman Trail,1.372,0,http://www.cityofgigharbor.net/page.php?id=699,1,Donkey Creek Park,1.3990155,Donkey Creek Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1345.02893188344,60889.5537873724
274,1873,Park,Resource Conservancy,4009 harborview Drive,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,0.82,0,http://www.cityofgigharbor.net/page.php?id=699,1,Austin Estuary Park,0.81241948,Austin Estuary Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,951.160042685864,35388.8453516833
275,1874,Park,Local,18902 82nd St E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Dawn to Dusk,3.8,0,http://www.citybonneylake.org/section_community/parks_recreation/city_parks.shtml,1,Viking Park,3.67541316,Viking Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2146.1857959859,160100.347356752
276,1875,Park,Undeveloped Sites,5615 Kopachuck Dr Nw,Gig Harbor,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,,0,18.5,https://penmetparks.org/parks/kopachuck-heights/,1,Kopachuck Heights,18.42215125,Kopachuck Heights, , , , , ,yes, , , , , , , , , , , , , , , , , , , , ,18.5, ,no, ,3813.33180707613,802465.736359342
277,1876,Park,Resource Conservancy,6620 32nd St NW,Gig Harbor,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,0,18.7,https://penmetparks.org/parks/harbor-family-park/,1,Harbor Family Park,18.74254565,Harbor Family Park, , , , , ,yes, , , , , , , , , , , , , , , , , , , , ,19, ,No, ,3826.8074293708,816415.860720695
278,1879,Skate Park,Local,251 S River Av,Buckley,98321,City of Buckley,City of Buckley,Dawn to Dusk,1.48,0,http://www.cityofbuckley.com/documents/skate_park_camera.html,1,Buckley Skate Park,1.36162941,Buckley Skate Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1261.19675724404,59312.3402348119
279,1889,Park,Resource Conservancy,1404 Evergreen Dr,Fircrest,98466,City of Fircrest,City of Fircrest,Dawn to Dusk,6.781,0, ,1,Thelma Gilmur Park,6.44098055,Thelma Gilmur Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3000.39269242581,280576.610730247
280,1891,Park,Local,3rd Street SW,South Prairie,98385,White River School District,Town of South Prairie,Dawn to Dusk,9.7,0,http://www.townofsouthprairie.com/parks.htm,1,Third Street Park,9.71962412,Third Street Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3186.48198669788,423385.12806557
281,1892,Park,Local,354 162 Hwy E,South Prairie,98385,Town of South Prairie,Town of South Prairie,Dawn to Dusk,2.15,0,http://www.townofsouthprairie.com/parks.htm,1,Veterans Park,2.16100295,Veterans Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1880.38031432191,94132.9016422569
282,1893,Park,Local,Military Rd and B St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.826,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#cherrydale,1,Cherrydale Park,1.16510705,Cherrydale Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1419.18970979201,50747.8242912227
