siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_highway_raster_val,pG_highspeed_raster_val,pG_railroad_raster_val,pG_park_raster_val,pG_water_raster_val,pG_elev_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
292,19.0,1.0,7.0,3.0,4.0,292,1155763.867578715,702605.2028464824,2.0,0.21545325219631195,9.0,3.0,11.0,13.0,1.0,112.80500793457031,825.9222991876405,5166.85787159072,4564.848297627591,4466.471698278061,2878.1661375708486,2878.1661375708486,3654.3531207331616
293,19.0,1.0,3.0,3.0,4.0,293,1155940.0004285574,702604.129029721,2.0,0.2350073903799057,9.0,3.0,11.0,13.0,0.0,112.24702453613281,846.0641474799007,5334.126171793321,4388.755303112732,4556.076456333478,3053.635761671848,3053.635761671848,3494.9599802351354
294,19.0,1.0,3.0,3.0,4.0,294,1156065.1835771352,702642.6259999722,2.0,0.09822768718004227,9.0,3.0,11.0,13.0,0.0,111.9060287475586,823.9124351979394,5465.089823107132,4264.934489664284,4655.6841672977935,3181.5772672862936,3181.5772672862936,3365.310388152204
295,20.0,1.0,3.0,3.0,4.0,295,1156232.715722382,702645.4160206467,2.0,0.08792347460985184,9.0,3.0,11.0,12.0,0.0,111.99370574951172,824.5053570809604,5625.829965774054,4097.644582751166,4751.1696068293295,3348.7348446042615,3348.7348446042615,3213.510858675015
296,19.0,1.0,3.0,3.0,4.0,296,1156380.1836033016,702660.7434178144,2.0,0.19619841873645782,10.0,3.0,10.0,13.0,0.0,112.3167953491211,774.1857235766624,5771.352559205902,3950.9818690380594,4848.876319767477,3373.726145245257,3496.969476801366,3069.9931058640113
297,24.0,0.0,0.0,0.0,0.0,297,1137249.491221726,703145.7988781482,0.0,0.4353494346141815,2.0,8.0,0.0,7.0,4.0,99.87311553955078,1823.3326031290853,1350.1559296023547,6700.9099921731695,11474.736845058556,4306.826441740646,94.56555468055983,6658.152549358511
298,19.0,1.0,3.0,3.0,4.0,298,1156477.4786843061,702686.7974995524,2.0,0.24814359843730927,10.0,3.0,11.0,13.0,0.0,112.70259094238281,770.7318920048605,5872.025045378931,3854.9089846998518,4927.499751475634,3274.7554458579975,3596.1630121954113,2970.028686367905
299,24.0,1.0,3.0,3.0,4.0,299,1156655.0350877196,702723.2747888118,2.0,0.518143892288208,9.0,3.0,11.0,13.0,0.0,112.062255859375,780.0952087156528,6052.570661667032,3673.903779184461,5064.2751610414525,3095.1250316704377,3743.153403021845,2789.132760427333
300,22.0,1.0,3.0,3.0,4.0,300,1156782.486604467,702763.1798927188,2.0,0.897577166557312,9.0,3.0,11.0,13.0,0.0,108.89598083496094,803.2860196815288,6186.112164281198,3542.0255775701253,5174.815524543495,2965.53912516555,3697.7788861932954,2657.3853060226716
301,22.0,1.0,3.0,3.0,4.0,301,1156890.7619784772,702771.0870291442,2.0,1.3602817058563232,9.0,3.0,12.0,13.0,0.0,107.39086151123047,799.6446575325082,6267.89044393357,3433.728872231026,5249.553078199118,2856.99616466479,3626.9338790446564,2549.0574549482994
