id,Y14_pop
530725072,1875
530726011,2503
530726012,1093
530726013,1761
530726021,948
530726022,2044
530726023,1354
530726031,783
530726032,966
530726033,877
530726034,1643
530726035,701
530728001,5671
530728002,3335
530729011,3167
530729031,3454
530729051,3063
530729052,1382
530729053,1621
530729061,1015
530729062,962
530729071,2044
530729072,3922
530729073,0
530730011,912
530730012,1048
530730013,1646
530730014,1251
530730015,1038
530730051,1051
530730052,1254
530730053,1093
530730054,2036
530730061,2472
530730062,1011
530731081,2322
530731082,3604
530731083,2097
530731101,1769
530731102,2033
530731111,1986
530731112,1395
530731113,780
530731131,1817
530731132,2604
530731133,2537
530731141,2408
530731142,1821
530731143,1271
530731151,2100
530731152,1517
530731153,474
530731161,2195
530731162,1082
530731171,2012
530731172,1856
530731181,1910
530731182,2373
530731191,827
530731192,2289
530731201,2254
530731202,2110
530731211,2324
530731212,2754
530731221,1338
530731222,2954
530731231,3226
530731232,1651
530731241,940
530731242,2580
530731251,4449
530731252,1599
530731253,3573
530731261,4173
530732001,1355
530732002,826
530732003,1326
530732004,2032
530733011,3367
530733012,1331
530733013,207
530733014,983
530733021,1261
530733022,1316
530733023,1155
530734041,1338
530734042,899
530734043,706
530734044,1034
530734045,1873
530734051,1933
530734052,1431
530734061,1715
530734062,1458
530734063,1851
530734071,1483
530734072,943
530734073,1309
530734081,2181
530734082,994
530734083,826
530735001,1185
530735002,1282
530735003,1052
530735004,919
530735005,1365
530735006,1406
539400011,1378
539400012,1303
539400021,1494
539400022,1163
539400023,1130
539400031,3340
539400032,1605
539400033,2228
539400041,1467
539400042,559
539400043,852
539400044,805
539400045,1240
539400046,1434
539400051,1509
539400052,2127
539400053,2226
539400061,1526
539400062,1351
539400071,752
539400072,1238
539400073,1135
539400081,2786
539400082,2044
539400083,1266
539400091,1751
539400092,1083
539400101,1944
539400102,1555
539400103,606
539400111,1458
539400112,1802
539400113,1014
