"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"Block Group 1, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","1,124","6","3","15","0","14","0","1,086"
"    Margin of Error","±311","±7","±4","±25","±12","±21","±12","±316"
"Block Group 2, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","1,255","66","51","14","0","96","0","1,028"
"    Margin of Error","±286","±52","±64","±22","±12","±114","±12","±285"
"Block Group 3, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","803","75","34","32","19","44","0","599"
"    Margin of Error","±273","±47","±38","±52","±30","±71","±12","±287"
"Block Group 4, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","1,194","0","74","0","73","43","17","987"
"    Margin of Error","±358","±12","±94","±12","±105","±54","±26","±342"
"Block Group 5, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","571","0","0","16","0","27","0","528"
"    Margin of Error","±178","±12","±12","±27","±12","±33","±12","±178"
"Block Group 6, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","619","120","113","0","0","79","0","307"
"    Margin of Error","±254","±137","±116","±12","±12","±128","±12","±149"
"Block Group 1, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","1,136","52","0","24","15","0","0","1,045"
"    Margin of Error","±368","±65","±12","±37","±23","±12","±12","±370"
"Block Group 2, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","944","187","37","27","12","16","0","665"
"    Margin of Error","±217","±176","±58","±30","±20","±25","±12","±234"
"Block Group 3, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","1,265","146","114","67","43","110","0","785"
"    Margin of Error","±409","±146","±98","±82","±67","±103","±12","±310"
"Block Group 4, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","816","202","19","37","47","0","0","511"
"    Margin of Error","±308","±250","±29","±42","±76","±12","±12","±162"
"Block Group 5, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","398","121","51","0","16","0","0","210"
"    Margin of Error","±201","±136","±62","±12","±24","±12","±12","±111"
"Block Group 6, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","465","65","0","0","24","14","0","362"
"    Margin of Error","±194","±99","±12","±12","±36","±23","±12","±174"
"Block Group 1, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","765","32","9","0","0","0","0","724"
"    Margin of Error","±217","±51","±14","±12","±12","±12","±12","±203"
"Block Group 2, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","643","0","21","0","0","35","0","587"
"    Margin of Error","±157","±12","±29","±12","±12","±54","±12","±172"
"Block Group 3, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","737","61","0","0","41","3","0","632"
"    Margin of Error","±283","±98","±12","±12","±64","±5","±12","±210"
"Block Group 4, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","527","0","0","100","0","10","147","270"
"    Margin of Error","±189","±12","±12","±140","±12","±16","±135","±113"
