"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"Block Group 1, Census Tract 715.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,679","364","190","180","162","164","0","619"
"    Margin of Error","±461","±252","±133","±179","±160","±198","±12","±245"
"Block Group 2, Census Tract 715.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,019","121","198","100","16","25","177","382"
"    Margin of Error","±325","±110","±170","±128","±27","±39","±246","±156"
"Block Group 3, Census Tract 715.04, Pierce County, Washington","","","","","","","",""
"    Estimate","919","270","104","51","3","11","20","460"
"    Margin of Error","±302","±266","±112","±48","±6","±16","±31","±143"
"Block Group 4, Census Tract 715.04, Pierce County, Washington","","","","","","","",""
"    Estimate","582","42","91","32","0","24","0","393"
"    Margin of Error","±231","±51","±93","±36","±12","±31","±12","±202"
"Block Group 1, Census Tract 715.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,764","13","82","33","16","46","14","1,560"
"    Margin of Error","±325","±24","±67","±41","±24","±58","±21","±340"
"Block Group 2, Census Tract 715.05, Pierce County, Washington","","","","","","","",""
"    Estimate","871","8","0","30","13","20","34","766"
"    Margin of Error","±261","±14","±12","±47","±22","±22","±40","±249"
"Block Group 3, Census Tract 715.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,034","15","27","20","9","10","0","953"
"    Margin of Error","±252","±25","±34","±34","±15","±15","±12","±246"
"Block Group 4, Census Tract 715.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,453","59","203","82","35","248","26","800"
"    Margin of Error","±297","±54","±133","±76","±42","±181","±39","±232"
"Block Group 1, Census Tract 715.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,092","61","28","1","224","102","0","676"
"    Margin of Error","±345","±112","±28","±2","±319","±108","±12","±164"
"Block Group 2, Census Tract 715.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,153","129","35","16","367","304","0","1,302"
"    Margin of Error","±378","±84","±33","±27","±279","±224","±12","±253"
"Block Group 3, Census Tract 715.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,756","125","56","35","260","79","16","1,185"
"    Margin of Error","±303","±166","±68","±49","±252","±92","±24","±316"
"Block Group 1, Census Tract 716.01, Pierce County, Washington","","","","","","","",""
"    Estimate","3,067","276","390","249","384","292","130","1,346"
"    Margin of Error","±486","±182","±235","±188","±276","±171","±169","±387"
"Block Group 2, Census Tract 716.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,689","96","157","125","411","75","0","825"
"    Margin of Error","±289","±59","±187","±127","±406","±67","±12","±267"
"Block Group 1, Census Tract 716.02, Pierce County, Washington","","","","","","","",""
"    Estimate","2,048","63","356","38","240","76","77","1,198"
"    Margin of Error","±460","±59","±332","±46","±231","±78","±68","±333"
"Block Group 2, Census Tract 716.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,612","181","102","109","298","156","62","704"
"    Margin of Error","±391","±117","±90","±115","±275","±155","±101","±193"
"Block Group 3, Census Tract 716.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,935","29","62","50","147","444","56","1,147"
"    Margin of Error","±426","±35","±92","±79","±223","±308","±68","±288"
"Block Group 4, Census Tract 716.02, Pierce County, Washington","","","","","","","",""
"    Estimate","895","41","99","39","31","65","23","597"
"    Margin of Error","±313","±70","±109","±62","±36","±121","±40","±291"
"Block Group 1, Census Tract 717.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,132","125","438","391","43","126","117","892"
"    Margin of Error","±382","±106","±226","±203","±50","±94","±84","±334"
"Block Group 2, Census Tract 717.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,254","26","269","72","46","164","0","677"
"    Margin of Error","±290","±21","±174","±64","±51","±170","±12","±201"
"Block Group 1, Census Tract 717.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,821","210","721","319","63","471","117","920"
"    Margin of Error","±476","±182","±430","±223","±81","±249","±163","±398"
"Block Group 2, Census Tract 717.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,417","82","547","92","304","72","0","320"
"    Margin of Error","±352","±55","±373","±87","±239","±73","±12","±134"
"Block Group 3, Census Tract 717.04, Pierce County, Washington","","","","","","","",""
"    Estimate","786","85","35","83","147","17","0","419"
"    Margin of Error","±282","±76","±55","±129","±151","±26","±12","±208"
"Block Group 1, Census Tract 717.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,452","149","376","174","103","129","65","456"
"    Margin of Error","±330","±141","±294","±111","±124","±118","±73","±146"
"Block Group 2, Census Tract 717.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,314","83","166","18","55","75","195","722"
"    Margin of Error","±334","±90","±115","±22","±53","±85","±203","±225"
"Block Group 3, Census Tract 717.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,274","212","16","9","69","0","44","924"
"    Margin of Error","±433","±302","±23","±15","±121","±12","±57","±320"
"Block Group 1, Census Tract 717.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,821","123","116","122","193","140","50","1,077"
"    Margin of Error","±180","±68","±82","±89","±171","±110","±49","±195"
"Block Group 1, Census Tract 717.07, Pierce County, Washington","","","","","","","",""
"    Estimate","801","117","39","58","19","18","101","449"
"    Margin of Error","±163","±77","±36","±53","±30","±27","±108","±135"
"Block Group 2, Census Tract 717.07, Pierce County, Washington","","","","","","","",""
"    Estimate","898","32","152","30","0","56","16","612"
"    Margin of Error","±274","±30","±198","±46","±12","±54","±25","±206"
"Block Group 3, Census Tract 717.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,102","173","44","77","0","86","45","677"
"    Margin of Error","±257","±156","±35","±74","±12","±69","±41","±208"
"Block Group 1, Census Tract 718.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,437","63","268","13","0","265","29","799"
"    Margin of Error","±366","±68","±204","±22","±12","±282","±45","±316"
"Block Group 2, Census Tract 718.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,410","71","263","213","245","78","277","1,263"
"    Margin of Error","±484","±81","±215","±203","±156","±88","±314","±401"
"Block Group 3, Census Tract 718.03, Pierce County, Washington","","","","","","","",""
"    Estimate","734","29","14","197","0","174","0","320"
"    Margin of Error","±302","±29","±20","±201","±12","±178","±12","±159"
"Block Group 4, Census Tract 718.03, Pierce County, Washington","","","","","","","",""
"    Estimate","823","0","347","16","63","121","0","276"
"    Margin of Error","±435","±12","±378","±26","±64","±127","±12","±148"
"Block Group 1, Census Tract 718.05, Pierce County, Washington","","","","","","","",""
"    Estimate","823","50","184","8","53","131","8","389"
"    Margin of Error","±306","±48","±220","±14","±52","±141","±11","±164"
"Block Group 2, Census Tract 718.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,367","178","107","133","66","101","0","782"
"    Margin of Error","±425","±136","±110","±199","±97","±128","±12","±396"
"Block Group 3, Census Tract 718.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,834","94","400","193","89","146","147","765"
"    Margin of Error","±481","±84","±290","±200","±95","±179","±214","±441"
"Block Group 1, Census Tract 718.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,516","747","587","165","160","140","201","516"
"    Margin of Error","±446","±380","±235","±164","±140","±109","±176","±226"
"Block Group 2, Census Tract 718.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,582","191","212","114","332","94","26","613"
"    Margin of Error","±321","±109","±162","±70","±221","±92","±23","±182"
"Block Group 1, Census Tract 718.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,984","192","144","32","101","281","0","1,234"
"    Margin of Error","±372","±108","±95","±40","±115","±192","±12","±277"
"Block Group 2, Census Tract 718.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,536","97","65","24","25","405","85","835"
"    Margin of Error","±358","±82","±46","±27","±24","±323","±105","±256"
"Block Group 1, Census Tract 718.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,528","204","645","0","158","19","157","345"
"    Margin of Error","±480","±256","±377","±12","±225","±38","±139","±129"
"Block Group 2, Census Tract 718.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,532","6","184","151","96","36","46","1,013"
"    Margin of Error","±372","±14","±143","±160","±78","±34","±48","±356"
"Block Group 3, Census Tract 718.08, Pierce County, Washington","","","","","","","",""
"    Estimate","641","83","138","127","156","25","13","99"
"    Margin of Error","±367","±85","±99","±235","±259","±30","±18","±83"
"Block Group 1, Census Tract 719.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,771","299","342","0","121","183","0","826"
"    Margin of Error","±492","±315","±284","±12","±109","±207","±12","±229"
"Block Group 2, Census Tract 719.01, Pierce County, Washington","","","","","","","",""
"    Estimate","643","14","24","0","14","72","0","519"
"    Margin of Error","±145","±22","±33","±12","±23","±92","±12","±148"
"Block Group 3, Census Tract 719.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,039","57","50","16","0","170","49","697"
"    Margin of Error","±294","±87","±46","±26","±12","±165","±74","±231"
"Block Group 4, Census Tract 719.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,269","103","59","3","0","7","0","1,097"
"    Margin of Error","±362","±97","±69","±7","±12","±15","±12","±346"
"Block Group 1, Census Tract 719.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,394","15","248","105","81","50","132","763"
"    Margin of Error","±485","±22","±217","±166","±117","±71","±153","±307"
"Block Group 2, Census Tract 719.02, Pierce County, Washington","","","","","","","",""
"    Estimate","896","46","89","67","12","0","0","682"
"    Margin of Error","±273","±69","±115","±78","±19","±12","±12","±235"
"Block Group 3, Census Tract 719.02, Pierce County, Washington","","","","","","","",""
"    Estimate","995","0","114","0","15","47","0","819"
"    Margin of Error","±312","±12","±143","±12","±24","±89","±12","±335"
"Block Group 4, Census Tract 719.02, Pierce County, Washington","","","","","","","",""
"    Estimate","632","12","46","0","0","0","23","551"
"    Margin of Error","±273","±19","±78","±12","±12","±12","±25","±287"
"Block Group 5, Census Tract 719.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,022","0","18","0","45","20","33","906"
"    Margin of Error","±201","±12","±30","±12","±72","±32","±50","±204"
"Block Group 1, Census Tract 720, Pierce County, Washington","","","","","","","",""
"    Estimate","1,230","26","546","114","293","60","43","148"
"    Margin of Error","±554","±29","±508","±132","±285","±66","±55","±67"
"Block Group 2, Census Tract 720, Pierce County, Washington","","","","","","","",""
"    Estimate","1,596","114","366","118","96","85","51","766"
"    Margin of Error","±547","±88","±312","±124","±109","±96","±84","±398"
"Block Group 3, Census Tract 720, Pierce County, Washington","","","","","","","",""
"    Estimate","1,013","52","64","71","74","161","1","590"
"    Margin of Error","±323","±80","±50","±86","±120","±154","±3","±278"
"Block Group 4, Census Tract 720, Pierce County, Washington","","","","","","","",""
"    Estimate","778","391","48","19","5","18","32","265"
"    Margin of Error","±317","±285","±30","±23","±8","±29","±46","±125"
"Block Group 1, Census Tract 721.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,204","71","0","11","37","0","0","1,085"
"    Margin of Error","±225","±89","±12","±17","±62","±12","±12","±218"
"Block Group 2, Census Tract 721.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,919","29","0","67","169","76","37","1,541"
"    Margin of Error","±317","±26","±12","±77","±254","±81","±59","±264"
"Block Group 3, Census Tract 721.05, Pierce County, Washington","","","","","","","",""
"    Estimate","326","212","86","17","0","5","6","0"
"    Margin of Error","±196","±165","±71","±16","±12","±13","±12","±12"
"Block Group 4, Census Tract 721.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,511","80","67","53","0","9","12","1,290"
"    Margin of Error","±250","±55","±68","±58","±12","±16","±17","±219"
"Block Group 1, Census Tract 721.06, Pierce County, Washington","","","","","","","",""
"    Estimate","696","0","27","7","29","21","0","612"
"    Margin of Error","±207","±12","±38","±18","±33","±38","±12","±204"
"Block Group 2, Census Tract 721.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,898","77","20","0","116","263","0","1,422"
"    Margin of Error","±599","±69","±33","±12","±190","±341","±12","±616"
"Block Group 3, Census Tract 721.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,422","139","405","295","219","212","218","934"
"    Margin of Error","±493","±103","±313","±263","±179","±170","±141","±307"
"Block Group 4, Census Tract 721.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,324","180","21","21","47","186","29","840"
"    Margin of Error","±339","±116","±25","±33","±55","±196","±47","±293"
"Block Group 1, Census Tract 721.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,242","0","113","38","34","15","0","1,042"
"    Margin of Error","±224","±12","±111","±35","±42","±25","±12","±224"
"Block Group 2, Census Tract 721.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,298","27","0","0","0","58","0","1,213"
"    Margin of Error","±254","±27","±12","±12","±12","±67","±12","±265"
"Block Group 3, Census Tract 721.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,042","47","30","26","84","25","44","786"
"    Margin of Error","±220","±57","±45","±38","±117","±38","±68","±233"
"Block Group 4, Census Tract 721.07, Pierce County, Washington","","","","","","","",""
"    Estimate","630","0","0","21","0","41","23","545"
"    Margin of Error","±183","±12","±12","±29","±12","±32","±36","±165"
"Block Group 1, Census Tract 721.08, Pierce County, Washington","","","","","","","",""
"    Estimate","653","35","0","50","0","91","13","464"
"    Margin of Error","±320","±40","±12","±71","±12","±118","±20","±260"
"Block Group 2, Census Tract 721.08, Pierce County, Washington","","","","","","","",""
"    Estimate","937","63","72","0","22","13","32","735"
"    Margin of Error","±316","±68","±48","±12","±31","±20","±36","±276"
"Block Group 3, Census Tract 721.08, Pierce County, Washington","","","","","","","",""
"    Estimate","517","108","27","30","0","0","63","289"
"    Margin of Error","±182","±105","±31","±50","±12","±12","±114","±119"
"Block Group 4, Census Tract 721.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,285","102","79","453","56","202","38","1,355"
"    Margin of Error","±391","±132","±123","±322","±64","±147","±61","±372"
"Block Group 5, Census Tract 721.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,214","0","226","0","0","0","0","988"
"    Margin of Error","±515","±12","±286","±12","±12","±12","±12","±438"
"Block Group 1, Census Tract 721.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,569","18","8","28","32","77","21","1,385"
"    Margin of Error","±237","±25","±13","±31","±40","±115","±28","±212"
"Block Group 2, Census Tract 721.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,940","61","77","98","184","115","117","1,288"
"    Margin of Error","±296","±87","±62","±111","±129","±103","±165","±310"
"Block Group 1, Census Tract 721.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,270","68","109","150","43","16","100","784"
"    Margin of Error","±219","±51","±117","±139","±50","±33","±73","±194"
"Block Group 2, Census Tract 721.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,165","32","61","71","50","33","171","747"
"    Margin of Error","±195","±26","±92","±70","±63","±31","±143","±186"
"Block Group 1, Census Tract 721.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,857","73","99","0","33","36","52","1,564"
"    Margin of Error","±270","±80","±87","±12","±47","±39","±60","±233"
"Block Group 2, Census Tract 721.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,284","81","33","7","66","208","74","815"
"    Margin of Error","±256","±59","±31","±10","±66","±161","±74","±207"
"Block Group 3, Census Tract 721.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,139","80","34","71","47","64","22","821"
"    Margin of Error","±264","±74","±62","±96","±52","±53","±33","±264"
"Block Group 1, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,226","128","8","175","10","142","0","763"
"    Margin of Error","±292","±104","±20","±203","±19","±142","±12","±277"
"Block Group 2, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","987","0","0","31","0","0","94","862"
"    Margin of Error","±328","±12","±12","±49","±12","±12","±154","±285"
"Block Group 3, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","818","0","0","0","19","79","19","701"
"    Margin of Error","±259","±12","±12","±12","±30","±102","±31","±264"
"Block Group 4, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","886","0","0","0","164","0","81","641"
"    Margin of Error","±312","±12","±12","±12","±220","±12","±124","±233"
"Block Group 5, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,493","101","67","45","77","163","91","949"
"    Margin of Error","±430","±161","±70","±48","±103","±145","±91","±335"
"Block Group 6, Census Tract 723.05, Pierce County, Washington","","","","","","","",""
"    Estimate","554","0","59","0","19","26","17","433"
"    Margin of Error","±171","±12","±93","±12","±31","±42","±28","±134"
"Block Group 1, Census Tract 723.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,843","85","189","166","205","223","39","936"
"    Margin of Error","±219","±59","±132","±127","±127","±132","±47","±234"
"Block Group 2, Census Tract 723.07, Pierce County, Washington","","","","","","","",""
"    Estimate","647","0","0","0","0","10","0","637"
"    Margin of Error","±195","±12","±12","±12","±12","±15","±12","±195"
"Block Group 3, Census Tract 723.07, Pierce County, Washington","","","","","","","",""
"    Estimate","732","7","9","0","29","29","10","648"
"    Margin of Error","±182","±11","±13","±12","±47","±34","±17","±185"
"Block Group 4, Census Tract 723.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,049","0","9","186","89","111","17","637"
"    Margin of Error","±314","±12","±14","±227","±136","±148","±28","±176"
"Block Group 1, Census Tract 723.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,272","0","14","354","44","15","0","845"
"    Margin of Error","±383","±12","±22","±297","±57","±25","±12","±319"
"Block Group 2, Census Tract 723.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,043","19","79","9","0","453","37","1,446"
"    Margin of Error","±471","±28","±111","±17","±12","±460","±58","±367"
"Block Group 3, Census Tract 723.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,128","8","135","0","95","0","0","890"
"    Margin of Error","±339","±16","±195","±12","±130","±12","±12","±232"
"Block Group 4, Census Tract 723.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,670","240","18","0","84","0","115","1,213"
"    Margin of Error","±565","±345","±28","±12","±96","±12","±145","±444"
"Block Group 5, Census Tract 723.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,631","131","30","0","0","30","0","1,440"
"    Margin of Error","±433","±207","±39","±12","±12","±47","±12","±446"
"Block Group 1, Census Tract 723.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,579","64","70","8","14","48","0","1,375"
"    Margin of Error","±294","±97","±112","±17","±23","±60","±12","±300"
"Block Group 2, Census Tract 723.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,819","26","253","189","15","101","102","1,133"
"    Margin of Error","±397","±36","±294","±124","±24","±107","±65","±430"
"Block Group 3, Census Tract 723.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,265","140","26","84","92","41","145","737"
"    Margin of Error","±292","±172","±21","±95","±90","±66","±131","±238"
"Block Group 4, Census Tract 723.09, Pierce County, Washington","","","","","","","",""
"    Estimate","910","20","25","13","0","0","0","852"
"    Margin of Error","±292","±32","±29","±22","±12","±12","±12","±295"
"Block Group 1, Census Tract 723.10, Pierce County, Washington","","","","","","","",""
"    Estimate","979","61","24","20","11","46","0","817"
"    Margin of Error","±299","±65","±21","±23","±17","±40","±12","±266"
"Block Group 2, Census Tract 723.10, Pierce County, Washington","","","","","","","",""
"    Estimate","684","0","8","16","74","71","0","515"
"    Margin of Error","±190","±12","±12","±23","±84","±93","±12","±173"
"Block Group 3, Census Tract 723.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,977","48","108","60","59","49","0","1,653"
"    Margin of Error","±250","±42","±99","±56","±46","±42","±12","±271"
"Block Group 1, Census Tract 723.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,380","56","132","55","16","233","133","755"
"    Margin of Error","±261","±51","±90","±36","±28","±143","±129","±172"
"Block Group 2, Census Tract 723.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,184","160","243","107","114","77","68","415"
"    Margin of Error","±294","±121","±205","±127","±93","±99","±81","±172"
"Block Group 3, Census Tract 723.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,735","7","55","130","63","18","6","1,456"
"    Margin of Error","±376","±12","±51","±137","±65","±29","±9","±357"
"Block Group 1, Census Tract 723.12, Pierce County, Washington","","","","","","","",""
"    Estimate","2,648","247","12","0","110","13","173","2,093"
"    Margin of Error","±431","±220","±21","±12","±100","±24","±212","±419"
"Block Group 2, Census Tract 723.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,337","123","267","161","91","64","27","604"
"    Margin of Error","±325","±157","±247","±128","±118","±81","±44","±240"
"Block Group 3, Census Tract 723.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,525","23","407","260","0","91","75","669"
"    Margin of Error","±532","±36","±358","±256","±12","±149","±116","±389"
"Block Group 1, Census Tract 723.13, Pierce County, Washington","","","","","","","",""
"    Estimate","2,132","57","57","65","0","12","0","1,941"
"    Margin of Error","±318","±89","±72","±107","±12","±18","±12","±349"
"Block Group 2, Census Tract 723.13, Pierce County, Washington","","","","","","","",""
"    Estimate","1,381","40","45","7","51","125","60","1,053"
"    Margin of Error","±266","±48","±46","±13","±71","±123","±53","±243"
"Block Group 1, Census Tract 724.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,900","19","12","11","24","9","67","1,758"
"    Margin of Error","±306","±31","±14","±18","±37","±14","±64","±309"
"Block Group 2, Census Tract 724.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,443","163","28","55","44","90","21","2,042"
"    Margin of Error","±321","±175","±43","±50","±49","±139","±32","±308"
"Block Group 1, Census Tract 724.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,025","69","20","25","1","45","29","1,836"
"    Margin of Error","±346","±81","±28","±40","±2","±40","±45","±364"
"Block Group 2, Census Tract 724.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,001","15","70","0","28","155","43","1,690"
"    Margin of Error","±427","±24","±86","±12","±35","±144","±76","±463"
"Block Group 3, Census Tract 724.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,137","0","100","96","56","0","257","1,628"
"    Margin of Error","±461","±12","±167","±137","±62","±12","±363","±353"
"Block Group 1, Census Tract 724.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,617","84","114","31","73","193","0","1,122"
"    Margin of Error","±426","±102","±150","±35","±109","±176","±12","±360"
"Block Group 2, Census Tract 724.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,570","86","12","21","52","51","0","1,348"
"    Margin of Error","±342","±85","±19","±36","±50","±50","±12","±341"
"Block Group 3, Census Tract 724.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,383","64","11","0","33","24","0","1,251"
"    Margin of Error","±340","±66","±17","±12","±58","±28","±12","±302"
"Block Group 1, Census Tract 724.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,252","0","0","104","0","0","174","974"
"    Margin of Error","±265","±12","±12","±124","±12","±12","±253","±266"
"Block Group 2, Census Tract 724.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,965","207","72","29","20","143","86","1,408"
"    Margin of Error","±331","±131","±69","±33","±28","±128","±102","±296"
"Block Group 3, Census Tract 724.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,068","37","10","0","14","24","0","983"
"    Margin of Error","±237","±36","±18","±12","±22","±27","±12","±230"
"Block Group 4, Census Tract 724.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,504","0","0","12","29","32","14","1,417"
"    Margin of Error","±263","±12","±12","±20","±46","±52","±23","±282"
"Block Group 1, Census Tract 724.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,454","17","89","3","10","12","0","1,323"
"    Margin of Error","±247","±26","±104","±7","±17","±14","±12","±230"
"Block Group 2, Census Tract 724.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,072","39","5","12","49","17","14","936"
"    Margin of Error","±160","±44","±7","±17","±78","±19","±21","±167"
"Block Group 1, Census Tract 724.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,911","115","68","12","95","26","22","1,573"
"    Margin of Error","±325","±112","±108","±19","±153","±29","±36","±263"
"Block Group 2, Census Tract 724.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,645","59","9","6","85","17","0","1,469"
"    Margin of Error","±327","±55","±16","±9","±124","±26","±12","±298"
"Block Group 1, Census Tract 725.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,806","73","29","36","25","46","100","1,497"
"    Margin of Error","±248","±52","±32","±45","±39","±62","±133","±239"
"Block Group 2, Census Tract 725.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,583","129","76","158","126","130","82","1,882"
"    Margin of Error","±302","±79","±104","±150","±119","±144","±79","±326"
"Block Group 1, Census Tract 725.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,939","51","22","83","13","18","6","1,746"
"    Margin of Error","±317","±61","±26","±123","±15","±28","±9","±310"
"Block Group 2, Census Tract 725.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,027","30","174","38","25","17","0","1,743"
"    Margin of Error","±320","±27","±190","±55","±41","±31","±12","±282"
"Block Group 1, Census Tract 725.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,299","0","86","68","34","42","0","1,069"
"    Margin of Error","±241","±12","±82","±88","±39","±48","±12","±242"
"Block Group 2, Census Tract 725.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,425","32","14","0","0","24","67","1,288"
"    Margin of Error","±392","±35","±24","±12","±12","±40","±102","±388"
"Block Group 3, Census Tract 725.05, Pierce County, Washington","","","","","","","",""
"    Estimate","3,361","27","13","17","13","76","39","3,176"
"    Margin of Error","±515","±31","±23","±27","±20","±72","±62","±514"
"Block Group 4, Census Tract 725.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,148","9","40","13","39","0","18","1,029"
"    Margin of Error","±314","±19","±59","±20","±78","±12","±29","±326"
"Block Group 1, Census Tract 725.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,143","68","74","0","22","63","18","898"
"    Margin of Error","±174","±89","±65","±12","±25","±64","±20","±179"
"Block Group 2, Census Tract 725.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,251","73","43","163","5","84","24","1,859"
"    Margin of Error","±306","±47","±38","±187","±6","±63","±37","±286"
"Block Group 1, Census Tract 725.07, Pierce County, Washington","","","","","","","",""
"    Estimate","664","32","25","0","0","0","17","590"
"    Margin of Error","±179","±51","±28","±12","±12","±12","±19","±171"
"Block Group 2, Census Tract 725.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,875","65","56","24","69","117","0","1,544"
"    Margin of Error","±249","±51","±45","±24","±80","±77","±12","±237"
"Block Group 1, Census Tract 726.01, Pierce County, Washington","","","","","","","",""
"    Estimate","2,490","114","13","36","326","93","43","1,865"
"    Margin of Error","±498","±97","±20","±57","±318","±74","±55","±374"
"Block Group 2, Census Tract 726.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,067","104","74","6","17","0","70","796"
"    Margin of Error","±249","±91","±58","±10","±27","±12","±69","±242"
"Block Group 3, Census Tract 726.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,761","108","216","27","67","58","20","1,265"
"    Margin of Error","±360","±107","±197","±43","±100","±66","±30","±327"
"Block Group 1, Census Tract 726.02, Pierce County, Washington","","","","","","","",""
"    Estimate","928","23","11","19","41","53","0","781"
"    Margin of Error","±222","±26","±16","±24","±50","±48","±12","±213"
"Block Group 2, Census Tract 726.02, Pierce County, Washington","","","","","","","",""
"    Estimate","2,044","0","80","57","180","430","98","1,199"
